"Details for Sum of ExtendedLineAmount - Months (ScheduledShipDate): Dec, Years (ScheduledShipDate): 2026, ItemSalesClassCode: Filling OP, ItemCode: N-4001                   (+)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScheduledShipDate,PromisedShipDate,SONumber,LineNumber,ShipToCode,ItemCode,ItemDescription,OrderQuantity,UnitPrice,ExtendedLineAmount,CustomerCode,ItemSalesClassCode,DropShip,SOTypeCode,FinalDestination,CustomerName,ShipToAddress1,ShipToAddress2,ShipToStateCode,ShipToZip,ParentDocumentNumber,Weight,OrderMessage,ShipToName,ShipToCity,ShippingInstructions,WarehouseCode,WarehouseName
2026-12-31 00:00:00,2026-01-09 00:00:00,0000064678,10,C54       ,4357,CURAD MEDIPLAST WART REMOVER CUR01496,112,57.96,6491.52,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",494 State Route 416,494 State Route 416,NY,12549,          ,0,,Medline Industries LP,Montgomery,,PCI-01    ,"STRUKMYER, LLC"
2026-12-31 00:00:00,2026-01-09 00:00:00,0000064676,10,K46       ,4357,CURAD MEDIPLAST WART REMOVER CUR01496,14,57.96,811.44,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","18601 Christopher Way, STE 100","18601 Christopher Way, STE 100",CA,95330,          ,0,,"Medline Industries, Inc.",Lathrop,,PCI-01    ,"STRUKMYER, LLC"
2026-12-31 00:00:00,2026-01-09 00:00:00,0000064675,10,C42       ,4357,CURAD MEDIPLAST WART REMOVER CUR01496,70,57.96,4057.2,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","3446 Highway 51 N, Suite 100",,MS,38672,          ,0,,Medline Industries LP,Southaven,,PCI-01    ,"STRUKMYER, LLC"
2026-12-31 00:00:00,2026-01-09 00:00:00,0000064674,10,C09       ,4357,CURAD MEDIPLAST WART REMOVER CUR01496,56,57.96,3245.76,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1960 W Miro Way,,CA,92376,          ,0,,Medline Industries LP,Rialto,,PCI-01    ,"STRUKMYER, LLC"
2026-12-31 00:00:00,2026-01-09 00:00:00,0000064673,10,B06       ,4357,CURAD MEDIPLAST WART REMOVER CUR01496,84,57.96,4868.64,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","1 Medline Drive, Suite 100",,TX,75172,          ,0,,Medline Industries LP,Wilmer,,PCI-01    ,"STRUKMYER, LLC"
2026-12-31 00:00:00,2026-01-09 00:00:00,0000064672,10,K56       ,4357,CURAD MEDIPLAST WART REMOVER CUR01496,14,57.96,811.44,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",190 Medline Drive Suite 200,,GA,31324,          ,0,,Medline Industries LP,Richmond Hill,,PCI-01    ,"STRUKMYER, LLC"
2026-12-31 00:00:00,2026-01-09 00:00:00,0000064670,10,C05       ,4357,CURAD MEDIPLAST WART REMOVER CUR01496,28,57.96,1622.88,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1062 Old Dixie Hwy,,FL,33823,          ,0,,Medline Industries LP,Auburndale,,PCI-01    ,"STRUKMYER, LLC"
2026-12-31 00:00:00,2026-01-09 00:00:00,0000064669,10,C03       ,4357,CURAD MEDIPLAST WART REMOVER CUR01496,140,57.96,8114.4,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1500 Medline Place,,GA,30253,          ,0,,Medline Industries LP,McDonough,,PCI-01    ,"STRUKMYER, LLC"
