SONumber,OrderDate,CustomerCode,CustomerName,SalesRepName,CustomerPONumber,RequestedShipDate,ItemCode,ItemDescription,LineAmount
64853.0,2026-01-02,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519453530              ,2026-03-31,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,165.0
64854.0,2026-01-02,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519453531              ,2026-03-31,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,495.0
64855.0,2026-01-02,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519453529              ,2026-03-31,005116                  ,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,63.42
64856.0,2026-01-02,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519453534              ,2026-03-31,005116                  ,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,126.84
64856.0,2026-01-02,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519453534              ,2026-03-31,005979                  ,"MEDLINE SUREFILM 4"" X 11 YARDS MSC2404",32121.6
64858.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458618              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,165.0
64859.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458611              ,2026-04-01,005116                  ,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,190.26
64859.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458611              ,2026-04-01,005117                  ,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,94.6
64866.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458612              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,220.0
64867.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458620              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,275.0
64867.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458620              ,2026-04-01,005117                  ,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,946.0
64868.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458628              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,55.0
64868.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458628              ,2026-04-01,005117                  ,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,662.2
64869.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458630              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,385.0
64870.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458617              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,935.0
64860.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458634              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,330.0
64861.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458632              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,495.0
64861.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458632              ,2026-04-01,005117                  ,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,756.8
64862.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458629              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,55.0
64862.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458629              ,2026-04-01,005117                  ,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,567.6
64863.0,2026-01-05,MEDL      ,"Medline Industries, Inc.",Brian Davies,4519458624              ,2026-04-01,003132                  ,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,990.0
