PONumber,EntryDate,VendorCode,VendorName,ItemCode,ItemDescription,OrderQuantity,UOM,OriginalOrderQuantity,QtyRecv,DueDate,ReceivedDate,Comments
51426,2025-10-27,SHANG YOUS,"Shanghai Careus Medical Products Co., Ltd (Youshi)",007917                  ,"Transparent  PE Tape 2.0""",19000,LF  ,20000,1000,2025-11-26,12/03/2025,
51679,2025-12-03,BSBT      ,"Beijing Sunpu Biochem Tech Co, LTD",007724                  ,IPBC (3-Iodo-2-propynyl butylcarbamate) SupGaurd® CAS#55406-53-6,1000,EA  ,1000,0,2026-02-03,01/01/1900,
51877,2026-01-07,DERMAMED  ,DermaMed Coatings,006146                  ,"DM-5001 4.5""",37050,LF  ,37050,0,2026-02-23,01/01/1900,
51987,2026-01-19,CROSSTEX  ,Crosstex,005350                  ,Gamma Dot Printed CPI-R03,25000,EA  ,25000,0,2026-02-23,01/01/1900,
51636,2025-11-25,LONGGANG  ,"Longgang Zhongchuang Printing Co, Ltd",007532                  ,"Cohesive Paper Unprinted Latex Free 9.5""",78170,LF  ,91294,13124,2026-02-24,02/16/2026,
52250,2026-02-23,ULINE     ,Uline,005221                  ,BOX 12X12X10 275 LB. TEST DW #S-15036,15,EA  ,15,0,2026-02-24,01/01/1900,
51936,2026-01-13,MEYERS    ,Meyers Printing,007163                  ,URGO - 118 ml (4 oz) Bottle Label Front Vashe / RM7271,154400,EA  ,154400,0,2026-02-26,01/01/1900,
51936,2026-01-13,MEYERS    ,Meyers Printing,007420                  ,VASHE - 118 ml (4 oz) Bottle Label Back 00312 201-LB006 REV 9/23,154440,EA  ,154440,0,2026-02-26,01/01/1900,
51936,2026-01-13,MEYERS    ,Meyers Printing,007424                  ,VASHE - 250 ml Bottle Label Back 00313 201-LB007 REV 9/23,184675,EA  ,184675,0,2026-02-26,01/01/1900,
52131,2026-02-10,EMULTEC   ,EMULTEC CHEMICAL INNOVATIONS,005694                  ,LIPONATE® GC (Caprylic/Capric Triglycerides) CAS# 73398-61-5,15880,GM  ,15880,0,2026-02-26,01/01/1900,
51653,2025-12-02,PENNCO    ,Pennco Container,007960                  ,Pauselife 15ml Tube with White cap,27200,EA  ,27200,0,2026-02-27,01/01/1900,
51781,2025-12-16,PENNCO    ,Pennco Container,007168                  ,"URGO - 250 ml Bottle Domed Oval PET, 24/410",152340,EA  ,152340,0,2026-02-27,01/01/1900,
52034,2026-01-30,APPLE     ,"Apple Corrugated Packaging, Inc.",007480                  ,URGO – 9.8125” x 9.5” x 5.75” Box (118 mL),7575,EA  ,7575,0,2026-02-27,01/01/1900,
51836,2025-12-30,SUZHEMY   ,Suzhou Emy Medical Supplies Co LTD,005859                  ,"MPM MP00990 DRY VEIL CONTACT LAYER 36""X36"" (48ea/CS)",11040,EA  ,11040,0,2026-03-02,01/01/1900,
52053,2026-02-02,PENNCO    ,Pennco Container,008001                  ,"D*4oz Bottle, MPM Regenecare HA Spray MP00117 R0126",8800,EA  ,8800,0,2026-03-02,01/01/1900,
52090,2026-02-05,Do-It     ,Do-It Corporation,007194                  ,"Hanger Tab 0R-FVN-GEK-15B0 1.5"" x 2.5"" w/0.5"" dia hole",42000,EA  ,42000,0,2026-03-02,01/01/1900,
52150,2026-02-12,Arena     ,"Arena Products, Inc.",007231                  ,"AP2370.11-2 Ply Liquid Liner Bag- 2"" Top 2"" Bottom Class with CC",10,EA  ,10,0,2026-03-02,01/01/1900,
52093,2026-02-06,3MMED     ,Solventum US LLC,004560                  ,"3M1513 ADHESIVE TAPE 4.0""",4200,LY  ,4200,0,2026-03-03,01/01/1900,
52093,2026-02-06,3MMED     ,Solventum US LLC,001581                  ,3M 1530 .625 IN,26600,LY  ,26600,0,2026-03-03,01/01/1900,
51528,2025-11-12,SMITH     ,Smith & Nephew Medical Ltd,005203                  ,"RENASYS PORT FILM ROLL/PU  5.78"" (147mm) #66771479",100000,LF  ,100000,0,2026-03-04,01/01/1900,
51528,2025-11-12,SMITH     ,Smith & Nephew Medical Ltd,005204                  ,"S&N PRINTED REL. LINER 111/60 HANDLE 5.5"" (140mm) #66771481",100000,LF  ,100000,0,2026-03-04,01/01/1900,
51528,2025-11-12,SMITH     ,Smith & Nephew Medical Ltd,005205                  ,"S&N PRINTED REL. LINER 111/60 HANDLE 2.5"" (64mm) #66771480",100000,LF  ,100000,0,2026-03-04,01/01/1900,
51902,2026-01-08,TECHNIPAQ ,Technipaq Inc.,005772                  ,AMCOR PPG-30 PRT 4.0X4.75 SURESITE 15.5 IN MSC2304,14000,LF  ,14000,0,2026-03-05,01/01/1900,
