Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,,,,,,9065728.639999997,,,,,,,,,,,,,,,,,,,
Order date,Requested Ship date,ScheduledShipDate,PromisedShipDate,SONumber,LineNumber,ShipToCode,ItemCode,ItemDescription,OrderQuantity,UnitPrice,ExtendedLineAmount,CustomerCode,ItemSalesClassCode,DropShip,SOTypeCode,FinalDestination,CustomerName,ShipToAddress1,ShipToAddress2,ShipToStateCode,ShipToZip,ParentDocumentNumber,Weight,OrderMessage,ShipToName,ShipToCity,ShippingInstructions,WarehouseCode,WarehouseName,Profit
2025-10-14 00:00:00,2026-01-12 00:00:00,1900-01-02 00:00:00,2026-01-28 00:00:00,0000064684,1,MAYNARD   ,3843,DeRoyal Episeal Tan 3 Inch Non-Reinforced Material,28000,0.396,11088,DEROYAL   ,MEDICAL   ,FALSE,SO,,DeRoyal Accounts Payable Dept,185 Richardson Way,,TN,37807          ,          ,0,,DeRoyal Foam/ Convertin,Maynardville,,PCI-01    ,,7710.752
2025-11-13 00:00:00,2025-12-05 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064757,2,LAND      ,6370,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908,20000,1.7789,35578,ORORA     ,Filling OP,FALSE,SO,,Orora Business Service Center,13397 Marlay Ave Ste A,,CA,92337-6946     ,          ,0,,Landsberg-Fullfillment Solutions,Fontana,Need special certificate COA before shipped,PCI-01    ,,13112.859999999999
2025-12-29 00:00:00,2026-03-08 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064846,1,lawson    ,5121,IMPLUS CANADA BLISTER PADS 4740700,15600,2.9,45240,IMPLUS CAN,MEDICAL   ,FALSE,SO,,Implus Canada,"8399 LAWSON ROAD, UNIT 104",,ON,L9T9L1         ,          ,0,,SPENCO CANADA/IMPLUS CANADA,MILTON,"For all Collect shipments to Implus Canada email Graham Patterson gpatterson@4implus.com, Shipments@4implus.com, and our Canadian carrier One For Freight support team at Implus@oneforfreight.com. ",,,19753.250399999997
2026-01-20 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064923,1,          ,N-4001                  ,"1,000 L Obelix Bulk Wound Wash Solution",1,2912,2912,URGO      ,MEDICAL   ,FALSE,SO,,URGO Medical,"100 Lexington Street, Suite 400",,TX,76102          ,          ,0,,URGO Medical,Fort Worth,,PCI-01    ,,
2026-02-04 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064956,1,BILL      ,7217,DERMACLIP EXT 3 CLIP PAD NS -31005,300,6.7991,2039.73,Dermaclip ,MEDICAL   ,FALSE,SO,,"DermaClip US, LLC","730 N Post Oak Rd., Ste. 202",,TX,77024          ,          ,0,,"DermaClip US, LLC",Houston,,PCI-01    ,,125.9112
2026-02-11 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064985,1,          ,N-4001                  ,Cleaning validation for Delight production,1,3000,3000,Bloomi    ,MEDICAL   ,FALSE,SO,,The Bloomi Inc,74 Royal Ridge Ct,,CA,94507          ,          ,0,,The Bloomi Inc,Alamo,,PCI-01    ,,
2026-02-11 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064986,1,          ,7991,Bloomi Delight 3oz,5000,3.45,17250,Bloomi    ,Default   ,FALSE,SO,,The Bloomi Inc,74 Royal Ridge Ct,,CA,94507          ,          ,0,,The Bloomi Inc,Alamo,Bloomi to arrange freight,PCI-01    ,,17250
2026-02-11 00:00:00,2026-03-27 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064990,1,          ,7993,200 RC Filter,10000,1.675,16750,HARM IRE  ,MEDICAL   ,FALSE,SO,,Harmac Medical Products,IDA Business Park,,..,...            ,          ,0,,Harmac Medical Products,"Castlerea, County Roscommon",,PCI-01    ,,16750
2026-02-11 00:00:00,2026-03-27 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064990,2,          ,7992,Port Drape,10000,0.625,6250,HARM IRE  ,MEDICAL   ,FALSE,SO,,Harmac Medical Products,IDA Business Park,,..,...            ,          ,0,,Harmac Medical Products,"Castlerea, County Roscommon",,PCI-01    ,,5600.000000000001
2026-02-13 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064992,1,BILL      ,8012,Bloomi Delight 3oz (1K Use Only),1,1000,1000,Bloomi    ,Filling OP,FALSE,SO,,The Bloomi Inc,74 Royal Ridge Ct,,CA,94507          ,          ,0,,The Bloomi Inc,Alamo,,PCI-01    ,,999.26485
