ItemCode,(All),Unnamed: 2,Unnamed: 3,ScheduledShipDate,(All).1,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,9065728.639999999,,,,,,,,,,,,,,,,,,,,
Department,Total,,,,,,Data,,,,,,,,,,,,,,,,,,,
URGO Medical,1973775.36,,,CustomerName,ItemCode,ItemDescription,Site Total Sales Revenue,Sum of Profit,,UOM,MOQ on Cost sheet,Lots/yr,Comment(MOQ on sales sheet),Actual MOQ required,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01
Patient Recovery,1848764.4,,,"MPM Medical, Inc.",5671,MPM OraMagic Rx 12oz MP00213,6408,2833.7004,,EA,5000,0,,,,,,,,,,,,,,
"Medline Industries, Inc.",610273.9199999998,,,,5674,MPM OraMagic Plus 8oz MP00224,4900,1261.3700000000003,,EA,75000,0,,,,,,,,,,,,,,
Harmac Medical Products,568917,,,,5668,MPM Regenecare HA Gel 3oz. MP00107,23400,7417.689999999999,,EA,7000,0,,,,,,,,,,,,,,
Instrument Specialists Inc,471827,,,,5660,,41758.2,15439.676868000006,,EA,7500,0,,,,,,,,,,,,,,
PerioSciences,454986.79000000004,,,,7898,"MPM DryMax/DrySAP Extra Super Absorbent Drsg, Sterile, 8X8;",9900,9900,,EA,24000,0,,,,,,,,,,,,,,
"MPM Medical, Inc.",381833.30000000005,,,,5662,"MPM Regenecare Wound Gel 0.5 oz, MP00101",4900,1159.3049999999998,,EA,9600,0,,,,,,,,,,,,,,
OSARTIS GmbH,327097,,,,5440,MPM Regenecare HA Gel 0.5oz. MP00112,7700,4408.87,,EA,50000,0,,,,,,,,,,,,,,
EMED Technologies Corp,244132,,,,5666,MPM RadiaPlex Rx Gel 6oz. MP00106,9364.4,3877.9602039999995,,EA,30000,0,,,,,,,,,,,,,,
