ItemSalesClassCode,(All),1189209.3800000001,Unnamed: 3
ScheduledShipDate,(All),,
Months (ScheduledShipDate),Feb,272615.04000000004,Items at risk
Years (ScheduledShipDate),2026,,
,,,
,,Data,
ItemCode,ItemDescription,Sum of ExtendedLineAmount,Sum of OrderQuantity
7153,URGO - VASHE 250 ml Flip Top 00313,272615.04000000004,145008
7156,URGO - VASHE 475 ml Instill 00317,154960.32,30504
1674,BI OVERLAY #2 - ITALY,118500,500000
7487,"CARDINAL HEALTH TELFA ADHESIVE DRESSING 2""x3"" 6017",80928,300
7154,URGO - VASHE 475 ml Flip Top 00314,77700,30000
7235,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.A  (ROW),62532,120000
3958,Harmac Filter Disc P3113306 Rev E,54675,202500
5342,ISI LARGE ALUMI-HAND 760,53130,6900
6011,MEDLINE CURAD MEDISTRIP 1/4 X 4 IN STERILE NON250414,43227.59999999999,340
5045,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,40750,25000
6370,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908,31086.28,17475
6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,26199,213
7155,URGO - VASHE 250 ml Instill 00316,26040,6000
7832,SkinCentry Premium Silicone Cream 2oz,21000,15000
6039,MEDLINE SURESITE 4 X 4.75 MSC2304,15474.16,751
6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",10215.480000000001,142
7898,"MPM DryMax/DrySAP Extra Super Absorbent Drsg, Sterile, 8X8;",9900,10000
7159,URGO - VASHE 250 ml OTC Flip Top 00405,9757.8,5004
5666,MPM RadiaPlex Rx Gel 6oz. MP00106,9364.4,2284
5660,MPM Antiseptic Wound & Skin Cleanser 8 fl.oz. MP00032,8758.2,3981
F-22007                 ,"ADVANCED 2"" × 200' ROLL SEMI-OCCLUSIVE",8599.2,40
5520,D* Tetrapotassium Pyrophosphate CAS#7320-34-5 1614086,8331.11,7446
6328,CARBOX WAX SENTRY POLYETHYLENE GLYCOL 600 NF CAS#25322-68-3,6977.1,716188
F-22004                 ,5 SITE SEMI-OCCLUSIVE STRIP,6560,16000
6323,MINERALIZ GU/Zn CAS# 4468-02-4 KOSHER,4961.39,66959
F-22008                 ,"ADVANCED 2"" × 200' ROLL OCCLUSIVE",4134.4,40
5521,D* Tetrasodium Pyrophosphate CAS#7722-88-5 KOSHER,3825.84,13337
N-4008                  ,Expedite Fee for 15ml Bottles,2556.79,1
5515,D* Dentsil DS 60 HYDRATED SILICA - CAS#112926-00-8 KOSHER,2414.7,467602
5590,"BAG, AP2390.11 Arena ""Air-Evac"" Vertex, 3Ply Liquid Liner Bag",1863.13,14
5703,D* Glycerin 99.7% CAS# 56-81-5  KOSHER,1661.22,2013600
5639,"D* Sorbitol Crystalline Powder NF, CAS# 50-70-4 KOSHER",1215.81,214127.05
N-4009                  ,Artwork Prep/Plate Fee(s),1200,1
5525,D* AmmoniumGlycyrrhizate Magnasweet 110-2X CAS#53956-04-0 KOSHER,1033.12,81438
N-4001                  ,Art & Print Plate Charges,549,1
,Set Up Charges,450,1
5518,"D* Mint Flavor WONF OS, Natural 113.19228 CAS# 68917-18-0 KOSHER",963.58,16562
5713,Polysorbate 20 CAS# 9005-64-5,919.01,112638
6330,MENTHOL CAS#2216-51-5   KOSHER,867.7,9524
7224,GREEN TEA PHYTOBASIC IN PG (3345L) KOSHER,853.65,15375
5517,D* Cooling Type Flavor Natural 113.90468 KOSHER,790.04,48563.98
5528,D* Mentha Viridis (Spearmint) Leaf Oil CAS# 8008-79-5 KOSHER,367.09,890.55
7525,D* BLANOSE™ CMC 7MF CAS#9004-32-4  KOSHER,278.53,37639
6327,ALOE VERA LEAF GEL DECOLORIZED 10X # AG014 CAS#94349-62-9,277.54,21783.07
5522,D* Aloe Barbadensis Leaf JuiceCAS#85507-69-3 KOSHER,257.89,45978.01
5527,D* Mentha Arvensis (Cornmint) Leaf Oil CAS# 68917-18-0 KOSHER,135.48,671.63
5530,D* Sodium Fluoride CAS#7681-49-4  KOSHER,124.13,22656
5686,D* Citric Acid CAS# 77-92-9,85.64,25563.08
6901,D* ASCORBIC ACID CAS# 50-81-7  KOSHER,76.02,24696.47
7573,AUSTRALIAN TEA TREE OIL #50-6270-01,66.99,571.53
Grand Total,,1189209.3800000001,5101309.37
