ItemCode,(All),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,ScheduledShipDate,(All).1,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,9065728.639999999,
Department,Total,,,,,,,,,,,,Data,
Filling OP,3051959.9400000004,,,,,,,,,,ItemCode,ItemDescription,Site Total Sales Revenue,Sum of Profit
MEDICAL   ,5117674.030000002,,,,,,,,,,7153,URGO - VASHE 250 ml Flip Top 00313,876095.04,354378.5796479999
Drape&Mask,550818,,,,,,,,,,7488,"CARDINAL HEALTH TELFA NON-ADHERENT DRESSING 3""x4"" 2132",552096,64155.12011999999
Default   ,345200.65,,,,,,,,,,7152,URGO - VASHE 118 ml Flip Top 00312,504422.64,205928.035416
CONSUMER  ,76.02,,,,,,,,,,7486,"CARDINAL HEALTH TELFA ADHESIVE DRESSING 3""x4"" 7643",466689.6,244230.06780000002
Grand Total,9065728.640000002,,,,,,,,,,7235,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.A  (ROW),125064,76659.84000000001
,,,,,,,,,,,,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.C  (ROW),250128,153319.68000000002
,,,,,,,,,,,7487,"CARDINAL HEALTH TELFA ADHESIVE DRESSING 2""x3"" 6017",323712,166643.7336
,,,,,,,,,,,7482,"CARDINAL HEALTH TELFA MINI ISLAND DRESSING 2""x3.75"" 7539LF",311866.8,39209.46291500002
,,,,,,,,,,,7751,PERIOSCIENCES AO PROVANTAGE GEL 30 mL,290500,114938.25000000003
,,,,,,,,,,,7156,URGO - VASHE 475 ml Instill 00317,281940,178209.61200000002
,,,,,,,,,,,7983,Osteoremedies Branded 1.0oz BlastX 12 assembly Turnkey,279552,238151.424
,,,,,,,,,,,5341,ISI EXTRA LARGE ALUMI-HAND 761,243368,100473.45077999998
,,,,,,,,,,,5342,ISI LARGE ALUMI-HAND 760,228459,85326.39360000001
,,,,,,,,,,,3958,Harmac Filter Disc P3113306 Rev E,222345,116132.4405
,,,,,,,,,,,7489,"CARDINAL HEALTH TELFA NON-ADHERENT DRESSING 2""x3"" 1961",194400,42425.865
,,,,,,,,,,,7236,HARMAC PRTD DRAPE ASSEMBLY W/LABEL - P3113251 Rev B.,47898,26442.630000000005
,,,,,,,,,,,,HARMAC PRTD DRAPE ASSEMBLY W/LABEL - P3113251 Rev C.,127728,70513.68000000001
