OrderDate,RequestedShipDate,ScheduledShipDate,PromisedShipDate,SONumber,LineNumber,ShipToCode,ItemCode,ItemDescription,OrderQuantity,UnitPrice,ExtendedLineAmount,CustomerCode,ItemSalesClassCode,DropShip,SOTypeCode,FinalDestination,CustomerName,ShipToAddress1,ShipToAddress2,ShipToStateCode,ShipToZip,ParentDocumentNumber,Weight,OrderMessage,ShipToName,ShipToCity,ShippingInstructions,WarehouseCode,WarehouseName
2025-10-14 00:00:00,2026-01-12 00:00:00,1900-01-02 00:00:00,2026-01-28 00:00:00,0000064684,1,MAYNARD   ,003843                  ,DeRoyal Episeal Tan 3 Inch Non-Reinforced Material,28000.0,0.396,11088.0,DEROYAL   ,MEDICAL   ,False,SO,,DeRoyal Accounts Payable Dept,185 Richardson Way,,TN,37807          ,          ,0.0,,DeRoyal Foam/ Convertin,Maynardville,,PCI-01    ,"STRUKMYER, LLC"
2025-11-13 00:00:00,2025-12-05 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064757,2,LAND      ,006370                  ,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908,20000.0,1.7789,35578.0,ORORA     ,Filling OP,False,SO,,Orora Business Service Center,13397 Marlay Ave Ste A,,CA,92337-6946     ,          ,0.0,,Landsberg-Fullfillment Solutions,Fontana,Need special certificate COA before shipped,PCI-01    ,"STRUKMYER, LLC"
2025-12-29 00:00:00,2026-03-08 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064846,1,lawson    ,005121                  ,IMPLUS CANADA BLISTER PADS 4740700,15600.0,2.9,45240.0,IMPLUS CAN,MEDICAL   ,False,SO,,Implus Canada,"8399 LAWSON ROAD, UNIT 104",,ON,L9T9L1         ,          ,0.0,,SPENCO CANADA/IMPLUS CANADA,MILTON,"For all Collect shipments to Implus Canada email Graham Patterson gpatterson@4implus.com, Shipments@4implus.com, and our Canadian carrier One For Freight support team at Implus@oneforfreight.com. ",,
Please include the following information: PO #, pallet count, pallet dims & weights, product NMFC, freight class, ship from address, pickup hours, ship to location.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PCI-01    	STRUKMYER," LLC""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-20 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064923,1,          ,N-4001                  ,"1,000 L Obelix Bulk Wound Wash Solution",1.0,2912.0,2912.0,URGO      ,MEDICAL   ,False,SO,,URGO Medical,"100 Lexington Street, Suite 400",,TX,76102          ,          ,0.0,,URGO Medical,Fort Worth,,PCI-01    ,"STRUKMYER, LLC"
2026-02-04 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064956,1,BILL      ,007217                  ,DERMACLIP EXT 3 CLIP PAD NS -31005,300.0,6.7991,2039.73,Dermaclip ,MEDICAL   ,False,SO,,"DermaClip US, LLC","730 N Post Oak Rd., Ste. 202",,TX,77024          ,          ,0.0,,"DermaClip US, LLC",Houston,,PCI-01    ,"STRUKMYER, LLC"
2026-02-11 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064985,1,          ,N-4001                  ,Cleaning validation for Delight production,1.0,3000.0,3000.0,Bloomi    ,MEDICAL   ,False,SO,,The Bloomi Inc,74 Royal Ridge Ct,,CA,94507          ,          ,0.0,,The Bloomi Inc,Alamo,,PCI-01    ,"STRUKMYER, LLC"
2026-02-11 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064986,1,          ,007991                  ,Bloomi Delight 3oz,5000.0,3.45,17250.0,Bloomi    ,Default   ,False,SO,,The Bloomi Inc,74 Royal Ridge Ct,,CA,94507          ,          ,0.0,,The Bloomi Inc,Alamo,Bloomi to arrange freight,PCI-01    ,"STRUKMYER, LLC"
2026-02-11 00:00:00,2026-03-27 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064990,1,          ,007993                  ,200 RC Filter,10000.0,1.675,16750.0,HARM IRE  ,MEDICAL   ,False,SO,,Harmac Medical Products,IDA Business Park,,..,...            ,          ,0.0,,Harmac Medical Products,"Castlerea, County Roscommon",,PCI-01    ,"STRUKMYER, LLC"
2026-02-11 00:00:00,2026-03-27 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064990,2,          ,007992                  ,Port Drape,10000.0,0.625,6250.0,HARM IRE  ,MEDICAL   ,False,SO,,Harmac Medical Products,IDA Business Park,,..,...            ,          ,0.0,,Harmac Medical Products,"Castlerea, County Roscommon",,PCI-01    ,"STRUKMYER, LLC"
2026-02-13 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000064992,1,BILL      ,008012                  ,Bloomi Delight 3oz (1K Use Only),1.0,1000.0,1000.0,Bloomi    ,Filling OP,False,SO,,The Bloomi Inc,74 Royal Ridge Ct,,CA,94507          ,          ,0.0,,The Bloomi Inc,Alamo,,PCI-01    ,"STRUKMYER, LLC"
2026-02-18 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000065007,1,          ,N-4001                  ,1 of 3 Bulk Validations,1.0,1910.0,1910.0,TURN      ,MEDICAL   ,False,SO,,Turn Therapeutics,"250 N. Westlake Blvd, Suite 210",,CA,91362          ,          ,0.0,,Turn Therapeutics,Westlake Village,,PCI-01    ,"STRUKMYER, LLC"
2026-02-18 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000065007,2,          ,007997                  ,Turn Therapeutics Hexagen Bulk - 55 Gallon Drum,8.0,1910.0,15280.0,TURN      ,Filling OP,False,SO,,Turn Therapeutics,"250 N. Westlake Blvd, Suite 210",,CA,91362          ,          ,0.0,,Turn Therapeutics,Westlake Village,,PCI-01    ,"STRUKMYER, LLC"
2026-02-18 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000065007,3,          ,N-4001                  ,Cleaning Validation,1.0,10000.0,10000.0,TURN      ,MEDICAL   ,False,SO,,Turn Therapeutics,"250 N. Westlake Blvd, Suite 210",,CA,91362          ,          ,0.0,,Turn Therapeutics,Westlake Village,,PCI-01    ,"STRUKMYER, LLC"
2026-02-23 00:00:00,2026-06-18 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000065010,1,ATLANTA   ,007488                  ,"CARDINAL HEALTH TELFA NON-ADHERENT DRESSING 3""x4"" 2132",1080.0,170.4,184032.0,COVIDMA   ,MEDICAL   ,False,SO,,Patient Recovery,110 Kendall Park Lane,,GA,30336          ,          ,0.0,,Atlanta RC - US,Atlanta,**Effective 7/28/18 www.routingguides.com/cardinal%20health,,
For Small orders and LTL use fedex 3rd party 920710310, less than or equal to 150lbs," refer to LTL/TL routing guide *requires special cert*""",PCI-01    ,"STRUKMYER, LLC",,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-24 00:00:00,2026-07-22 00:00:00,1900-01-02 00:00:00,1900-01-02 00:00:00,0000065011,1,G-Global  ,000609                  ,MEDISTRIP 1/4 IN X 3 IN BULK,17.0,119.0,2023.0,CENTURION ,MEDICAL   ,False,SO,,Centurion Medical Products Corp,C/O G-Global Logistics Inc,1776 Pan American St. Building B Suite 100,CA,92231          ,          ,1.0,,Centurion Medical,Calexico,,PCI-01    ,"STRUKMYER, LLC"
