Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Sterile,,,,,,,,
Pre-Sterile ,,ItemCode,ItemDescription,Price,Cost,GP,Gp%,
Non-Sterile,,100,ADROIT FACE SHIELD TAPE 1/2 X 300 LY,12.158,10.12528,2.0327199999999994,0.1671919723638756,
,,101,SAF TUBE TAMER,0.54,0.206831,0.33316900000000005,0.6169796296296297,
,,102,Carrot-Top Industries  Electrode Tape-T8001 30 LY RL,24.2,14.893219,9.306780999999999,0.38457772727272727,
,,103,HYDROMED 4 x 1 TYVEK STRIP W/ADH TAB,0.45,0.024801,0.425199,0.9448866666666667,
,,104,"K-C AVENT TAPE  0.5"" ON MASK #11760",0.243,0.12662,0.11637999999999998,0.47893004115226334,
,,107,HYDROMED 6 X 7/8 TAPE STRIPS PRTD,111.2,42.180401,69.019599,0.6206798471223022,
,,110,HYDROMED 1 X 9 POLY TAPE TEAR HERE,0.1779,0.03637,0.14153,0.7955593029792017,
,,114,STERIMED 3M 9889EL 1 X 72 LY,13.81,10.39708,3.4129199999999997,0.24713396089790005,
,,118,MUELLER 1/4 X 6 X 72 FOAM RL B060252,6.58,6.791184,-0.21118400000000026,-0.03209483282674776,
,,124,**INACTIVE**MUELLER BULK FOAM VARIETY PACK B060271,10.2,8.133358,2.066642,0.20261196078431373,
,,136,B BRAUN PAD STAR 140962,0.8894,0.317336,0.5720639999999999,0.6432021587587137,
,,137,STERIMED STRAPS PE 1 X 30,0.098,0.012478,0.085522,0.872673469387755,
,,144,STERIMED 3M 9889EL 2.0  X 72 LY,31.12,20.786112,10.333888000000002,0.3320658097686376,
,,153,DSCOPE PED BAN 0683-00-0409-03 BX,64.8,20.12492,44.675079999999994,0.6894302469135802,
,,155,MPM Repel Wound Drsg Sterile 2x2 Pad MP00082,0.74,0.541559,0.19844099999999998,0.2681635135135135,
,,156,MPM Repel Wound Dressing Sterile 4 x 4 Pad MP00084,1.134,0.797005,0.33699499999999993,0.297173721340388,
,,157,DSCOPE NEONATE FOOT BANDAGE 0683-00-0440-03,45.36,21.158637,24.201363,0.5335397486772487,
,,161,MUELLER ABR RL 2 X 10 YD MAN126,6.83,6.006203,0.8237969999999999,0.12061449487554902,
,,162,MUELLER ABR STRIPS 4 IN X 8 IN BULK MAN125A,0.2144,0.066497,0.147903,0.6898460820895522,
,,173,DOLPHIN NEONATE BANDAGE 55-00656-02,15.12,3.56965,11.550349999999998,0.7639120370370369,
,,189,MUELLER MORE SKIN SQ 1 X 1 (JAR) B131401,5.98,3.147552,2.8324480000000003,0.47365351170568565,
,,190,MUELLER MORE SKIN CIR 3 IN (25/JR),12.5,5.905923,6.594077,0.5275261600000001,
,,191,ALERT AQUA PATCH 1 IN SQ P/N 420100,14.15,8.64494,5.50506,0.3890501766784452,
,,192,ALERT AQUA PATCH 3 IN CIR JR,22.53,19.443637,3.086363000000002,0.1369890368397693,
,,196,BRAZA PETAL TOPS - BEIGE,0.0512,0.038169,0.013031000000000001,0.25451171875,
,,217,**INACTIVE**3M XMF8011 FASTENING TAPE 2.75 IN,0.084023,0.104428,-0.020405000000000006,-0.24285017197672074,
,,345,MPM EXCEL HYDCOLLD 2 X 2 MP00600,1.07,2.033824,-0.963824,-0.9007700934579439,
,,346,MPM EXCEL HYDCOLLD Wound Drsg 4.25 X 4 MP00602,1.365,1.029874,0.33512600000000003,0.24551355311355313,
,,347,MPM EXCEL HYDCOLLD 3.6 X 4 CASE,1.44,1.267903,0.17209699999999994,0.11951180555555552,
,,348,MPM Excel Hydrocolloid Wound Dressing 6 x 6.5 MP00608,2.45,1.22654,1.2234600000000002,0.49937142857142863,
,,449,**INACTIVE**PRECEPT SHIELD,0.1103,0,0.1103,1,
,,474,ADVANCE HOOK W/PSA 1.5 X .5,0.023,0.012095,0.010905,0.4741304347826087,
,,481,HYDRO TAPE STRIP 4 X 7/8 UP - 715-03224-000,92.07,63.657651,28.412348999999992,0.3085950798305636,
,,483,MPM Repel Wnd Drsg Sterile 4x6 Pad MP00086,1.4385,1.3669,0.07159999999999989,0.04977407021202634,
,,487,SWISS 6 X 6 HYDROPHILIC FOAM,1.617,0.718624,0.898376,0.5555819418676561,
,,492,SWISS 4 X 4 HYDROPHILIC FOAM,0.735,0.25293,0.48207,0.6558775510204081,
,,513,BOSS ARM BOARD TAPE TAB 70021191,0.052,0.042602,0.009397999999999997,0.18073076923076917,
,,521,COMUNDIAL TAPE STRIP 3/CD,0.0511,0.033438,0.017661999999999997,0.3456360078277886,
,,535,RUSCH DISK 8491D,0.73,0.440103,0.28989699999999996,0.6587026218862402,
,,605,MEDISTRIP 1/4 IN X 1.5 IN BULK,103.2,145.561119,-42.36111899999999,-0.41047595930232544,
,,606,MEDISTRIP 1/8 IN X 3 IN BULK,132,51.825055,80.17494500000001,0.607385946969697,
,,607,MEDISTRIP 1/2 IN X 4 IN NONSTERILE 3/CD,1263,1080.12063,182.8793700000001,0.14479760095011884,
,,608,MEDISTRIP 1/4 IN X 4 IN 5/CD BULK,149.5,125.227982,24.272018000000003,0.16235463545150502,
,,609,MEDISTRIP 1/4 IN X 3 IN BULK,110.1,107.46,2.6400000000000006,0.02397820163487739,
,,610,MEDISTRIP 1 IN X 4 IN BULK,175.6,125.829226,49.77077399999999,0.2834326537585421,
,,658,BRAZABRA HEART TOPS 12056 BEIGE,0.0492,0.032181,0.017019,0.34591463414634144,
,,661,"MPM WoundGard 6""x6"" Pad MP00098",0.52,0.554695,-0.03469500000000003,-0.0667211538461539,
,,696,ANS WINDOW MASKING TAPE SMALL,1.92,0.022743,1.897257,0.9881546875,
,,701,SWISS SONTARA 2 IN X 10 YD,3.677,1.550462,2.126538,0.5783350557519717,
,,718,**INACTIVE**LONG LIFE SERV DIET PATCH,0.172,0.000385,0.171615,0.9977616279069768,
,,741,DOLPHIN MEDICAL PEDIATRIC FLEXISENSOR 55-00363,21.6,5.225665,16.374335000000002,0.7580710648148149,
,,819,**INACTIVE**HYDRO-MED TEAR HERE LBL W/ADH,0.01,0,0.01,1,
,,833,BUSSE ADH PATCH 2.5 X 2.375  6843D-1,0.0756,0.10991,-0.03430999999999999,-0.45383597883597876,
,,835,HYDROMED POLY TIE 1 X 30 W/ADH TAB,0.075,0.034381,0.040618999999999995,0.5415866666666667,
,,874,HEMCON 3.625X3.625 FOAM DRG RM7006 - REV 4,0.25,0.139502,0.11049800000000001,0.44199200000000005,
,,879,BUSSE 1/2 IN X 4 IN WC STRIPS 4383C,0.23,0.153727,0.07627300000000001,0.3316217391304348,
,,931,MPM 6 X 8 (4.25 X 6 PAD) WOUNDGUARD NON-STERILE MP00099,0.56,1.629236,-1.0692359999999999,-1.9093499999999997,
,,936,MUELLER PRTD ABR STRIPS 2 X 5 BULK MAN124,0.053,0.089528,-0.036528,-0.6892075471698113,
,,939,MUELLER PRTD ABR RL 4 IN X 10 LY MAN127A,9.03,7.572635,1.4573649999999994,0.161391472868217,
