*,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Monthly Total Mfg Rev & Profit TARGET,Unnamed: 18,Unnamed: 19,Unnamed: 20,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,Mfg Target,692905.8400000001,-692905.8400000001,,,,Date,(Multiple Items),,,,,,,,Date,(Multiple Items),,,,,,,,,
,,Mfg Actual,0,,,,,Mfg or Quality Release,(Multiple Items),Difference,0,,,,,,Mfg or Quality Release,Non Sterile,,,,,,,,,
,,Mfg or Quality Release,Non Sterile,,,,,,,Grand Totals,0,0,0,0,,,,,,,Date,(All),,,,,
,,Finished Goods,(All),,,,,Line/Machine,Part #,Lot #,Plan Revenue,Act Revenue,Planned Profit $,Actual Profit $,Description,,Can Make,Planned Ship Rev,Planned Profit $,,Mfg or Quality Release,Quality Release,,,,,
,,Week,(All),,,,,Grand Total,,,,,,,,,Grand Total,,,,,,2083820.0999999999,0,986972.8677639996,0,
,,,,,,,,,,,,,,,,,,,,,Part #,Lot Numbers,Planned Ship Revenue,Actual Ship Revenue,Planned Profit $,Actual Profit $,Description
,,Date,Values,,,,,,,,,,,,,,,,,,7310,54366,17982,0,12692.518776,0,NEXT SCIENCE BRANDED 1.0oz BLASTX
,,2026-03-02 00:00:00,Plan Revenue,42555.520000000004,,,,,,,,,,,,,,,,,7159,54416,9757.8,0,3943.6323839999995,0,URGO - VASHE 250 ml OTC Flip Top 00405
,,,Act Revenue,0.0,,,,,,,,,,,,,Quality Releases Rev & Profit TARGET,,,,,54380,9734.4,0,3934.1752319999996,0,
,,2026-03-03 00:00:00,Plan Revenue,76072.0,,,,,,,,,,,,,Date,(Multiple Items),,,7153,54415,272615.04,0,107475.57935999999,0,URGO - VASHE 250 ml Flip Top 00313
,,,Act Revenue,0.0,,,,,,,,,,,,,Mfg or Quality Release,Quality Release,,,,54378,225577.43999999997,0,88931.50595999998,0,
,,2026-03-04 00:00:00,Plan Revenue,82048.0,,,,,,,,,,,,,,,,,7155,54417,26040,0,17377.086,0,URGO - VASHE 250 ml Instill 00316
,,,Act Revenue,0.0,,,,,,,,,,,,,Can Make,Planned Mfg Rev,Planned Profit $,,,54668,17342.64,0,11573.139276,0,
,,2026-03-05 00:00:00,Plan Revenue,82048.0,,,,,,,,,,,,,Grand Total,,,,5672,54044,2448,0,143.73720000000017,0,MPM OraMagic Rx 2oz MP00222
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,7156,54419,154960.32,0,97947.85593599999,0,URGO - VASHE 475 ml Instill 00317
,,2026-03-06 00:00:00,Plan Revenue,82048.0,,,,,,,,,,,,,,,,,7154,54138,129510.35999999999,0,60102.85784399999,0,URGO - VASHE 475 ml Flip Top 00314
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,54381,129479.28,0,60088.43431199999,0,
,,2026-03-09 00:00:00,Plan Revenue,79188.0,,,,,,,,,,,,,,,,,,54418,77700,0,36058.829999999994,0,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,7152,54414,213736.32,0,88357.09478399999,0,URGO - VASHE 118 ml Flip Top 00312
,,2026-03-10 00:00:00,Plan Revenue,63086.0,,,,,,,,,,,,,,,,,5674,54797,5880,0,1394.8152000000005,0,MPM OraMagic Plus 8oz MP00224
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,54048,5880,0,1394.8152000000005,0,
,,2026-03-11 00:00:00,Plan Revenue,51300.0,,,,,,,,,,,,,,,,,5666,54058,44279.99999999999,0,17580.283199999998,0,MPM RadiaPlex Rx Gel 6oz. MP00106
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,5662,54238,5880,0,1085.754,0,"MPM Regenecare Wound Gel 0.5 oz, MP00101"
,,2026-03-12 00:00:00,Plan Revenue,71812.32,,,,,,,,,,,,,,,,,6370,54364,160101,0,15031.61999999999,0,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,54789,53367,0,5010.539999999996,0,
