Date,Shift,Operator,Machine,Lot Number,Item Code,Description,UOM,Planned Quantity,Act Quantity,Comments,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
2023-02-12,2nd,Ladies,impulse Sealer,54388.0,4152,"McKESSON 61-82044 DRESSING, HYDROGEL SHEET STR LF",EA,3000,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-18,1st,Juan ,scout,54782.0,7544,"Cardinal Pouching 8.75"" Adh Dressing Natural Latex",LF,14000,52240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-18,1st,Juan ,scout,54778.0,7543,"Cardinal Pouching 8.75"" Adh Dressing Natural Latex",LF,14000,65480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-19,1st,Salvador ,D4,53866.0,7235,HARMAC PRTD DRAPE ASSEMBLY ,EA,14000,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-19,1st,Faustino,D1,54643.0,3707,Telfa pad Clear sub,LF,23800,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-19,1st,Jesus,D2,54637.0,7486,Cardinal Health Telfa Adhesive dressing 3x4,CS,60,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-19,1st,Esteban,D3,54497.0,3752,MPM 4X5THIN FILM DRESSING STERILE MP00470,CS,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-19,1st,Ladies,impulse Sealer,54388.0,4152,"McKESSON 61-82044 DRESSING, HYDROGEL SHEET STR LF",EA,3000,3720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,1st,Faustino,D1,54643.0,3707,Telfa pad Clear sub,LF,,31200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,1st,Jesus,D2,54637.0,7486,Cardinal Health Telfa Adhesive dressing 3x4,CS,60,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,1st,Esteban,D3,54497.0,3752,MPM 4X5THIN FILM DRESSING STERILE MP00470,CS,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,1st,Salvador ,D4,53866.0,7235,HARMAC PRTD DRAPE ASSEMBLY ,EA,14000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,1st,ladies,Impulse sealer,54388.0,4152,"Mckesson 61-82044 Dressing, Hydrogel Sheet STR LF",EA,3000,4420,Job completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,1st,ladies,C2,54173.0,5005,Implus Skin Blister Pads 474200,CTN,,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,1st,Juan ,scout,54778.0,7543,"Cardinal Pouching 8.75"" Adh Dressing Natural Latex",LF,14000,26240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,1st,Juan ,scout,54782.0,7544,"Cardinal Pouching 8.75"" Adh Dressing Natural Latex",LF,14000,52480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-20,1st,Jesus,D2,54637.0,7486,Cardinal Health Telfa Adhesive dressing 3x4,CS,60,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23,1st,Faustino,D1,54643.0,3707,Telfa pad Clear sub,LF,23800,42300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-23,1st,Esteban,D3,54497.0,3752,MPM 4X5THIN FILM DRESSING STERILE MP00470,CS,28000,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,1st,Jesus,D2,53931.0,7482,"CARDINAL HEALTH TELFA MINI ISLAND DRESSING 2""x3.75",CS,255,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,2nd,Tandy,D2,53931.0,7482,"CARDINAL HEALTH TELFA MINI ISLAND DRESSING 2""x3.75",CS,255,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,2nd,Antonio,D4,53857.0,7235,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.C  (ROW),EA,14000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,1st,Salvador ,D4,53857.0,7235,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.C  (ROW),EA,14000,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,1st,Faustino,Pace,54077.0,3428,"6.0"" Liner Blue 3-Mil LDPE (SUB)",LF,3000,3000,JOB COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,1st,Faustino,Pace,54076.0,3427,"Pair of 5.0"" Liner Blue 3-Mil LDPE (SUB)",LF,3000,0,Set up only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,1st,Felix,D1,53927.0,3707,Telfa Pad Clear Sub,LF,23800,7800,Set up and run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-05,1st,Juan Z.,Scout,53928.0,7544,"Cardinal Latex Warning Black 8.75"" Natural Latex",LF,42000,52480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,1st,Jesus,D2,53931.0,7482,"CARDINAL HEALTH TELFA MINI ISLAND DRESSING 2""x3.75",CS,255,90,out cohesive material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,2nd,Tandy/Antonio,D13,54173.0,5005,Implus skin Blister Pads 474200,EA,49000,10000,Set up and run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,1st,Salvador ,D4,53857.0,7235,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.C  (ROW),EA,14000,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,1st,Felix,D1,53927.0,3707,Telfa Pad Clear Sub,LF,23800,28600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,1st,Juan Z.,Scout,53928.0,7544,"Cardinal Latex Warning Black 8.75"" Natural Latex",LF,42000,52480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,1st,Faustino,Pace,54076.0,3427,"Pair of 5.0"" Liner Blue 3-Mil LDPE (SUB)",LF,3000,3000,JOB COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,1st,Juan Z.,Scout,54534.0,7543,"Cardinal Pouching 8.75"" Adh Dressing Natural Latex",LF,42000,0,SET UP ONLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-06,2nd,Antonio,D3,54351.0,6145,Medline/glory sun safe secure,EA,31500,12100,"Set up and run, helping operator on D13.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
2026-01-07,1st,Salvador ,D4,53857.0,7235,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.C  (ROW),EA,14000,14000,Machine down 2 hrs due to waiting material be realeased (005203),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
