Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,SHIPMENT Rev & Profit TARGET,Unnamed: 21,Unnamed: 22,Unnamed: 23,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,"QUALITY PRODUCT RELEASES (PRE-STERILE, NON Sterile, STERILE)",Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,Mfg Target,1059013.52,-339203.672,,,,,,,,,,,,,,,,Date,(Multiple Items),,,,,,,,,,,,,,,,,,
,,Mfg Actual,719809.848,,,,,,,,,,,,,,,,,Sterile / Non-Sterile,(Multiple Items),,,Date,(Multiple Items),,,,,,,,,,,,,,
,Finished Goods,(Multiple Items),514794.12,576110.52,482903,,,,,Date,(Multiple Items),,,,,,,,,,,,,jun,(All),,,,,,,,Date,(Multiple Items),,,,,
,Week,(All),27230.94,426867.56799999997,292942.28,,,,,Can Make?,(All),,Difference,-366019.7969999999,,,,,,Can Make?,Planned Ship Rev,Planned Profit $,,Sterile / Non-Sterile,(Multiple Items),,,,,,,,Can Make?,(All),,,,,
,,,,,,,,,,,,,Grand Totals,1059013.52,692993.7230000001,347027.8638219999,254200.90120000002,,,(blank),997697.1200000001,346481.2754240001,,,,997697.12,313580.095,346481.275424,120292.464233,0.0,,,,,,,,,
,,,Sterile / Non-Sterile,,,,,,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Planned Profit $,Actual Profit $,Description,,No ,0,0,,Part #,Lot Numbers,Planned Ship Revenue,Actual Ship Revenue,Planned Profit $,Actual Profit $,,Description,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Description
,Date,Values,Sterile,Pre-Sterile ,Non-Sterile,,,,,Circle 1,5045,53517,Pre-Sterile ,41076,0,14414.777999999998,0,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,,Grand Total,997697.1200000001,346481.2754240001,,1673,54393,39744,29808,10839.599999999999,8129.699999999999,,BI OVERLAY #1 - ITALY,,Circle 2,1674,54394,Non-Sterile,92565,0,
,2026-02-02 00:00:00,Plan Revenue,61627.8,6965.599999999999,39301.28,,,,,Circle 2,1673,54393,Non-Sterile,39744,29808,10839.599999999999,8129.699999999999,BI OVERLAY #1 - ITALY,,,,,,1674,54394,92565,0,15842.199999999999,0,,BI OVERLAY #2 - ITALY,,,6011,54629,Sterile,43227.6,11188.32,
,,Act Revenue,11188.32,5659.549999999999,16460.489999999998,,,,,,1674,54394,Non-Sterile,92565,0,15842.199999999999,0,BI OVERLAY #2 - ITALY,,MANUFACTURING Rev & Profit TARGET,,,,3958,54518,54675,55890,27886.882500000007,28506.591000000008,,Harmac Filter Disc P3113306 Rev A,,,1673,54393,Non-Sterile,39744,29808,
,2026-02-03 00:00:00,Plan Revenue,19071,6965.599999999999,44345.84,,,,,,5005,54173,Pre-Sterile ,0,0,0,0,IMPLUS SKIN BLISTER PADS 4742300,,Date,(Multiple Items),,,3707,54643,0,0,0,0,,,,,6013,54648,Sterile,30750,0,
,,Act Revenue,0,9403.56,50807.1,,,,,Delta 1,3707,54643,Non-Sterile,0,0,0,0,,,Sterile / Non-Sterile,(Multiple Items),,,609,53977,0,0,0,0,,MEDISTRIP 1/4 IN X 3 IN BULK,,,6008,54646,Sterile,10719.06,16042.619999999999,
,2026-02-04 00:00:00,Plan Revenue,5085.6,32165.6,21305.84,,,,,Delta 13,1673,54393,Non-Sterile,0,0,0,0,BI OVERLAY #1 - ITALY,,,,,,610,53978,3160.7999999999997,3160.7999999999997,895.8739319999997,895.8739319999997,,MEDISTRIP 1 IN X 4 IN BULK,,Delta 1,3707,54643,Non-Sterile,0,0,
,,Act Revenue,6186.84,61317.28999999999,10024.349999999999,,,,,,1674,54394,Non-Sterile,0,0,0,0,BI OVERLAY #2 - ITALY,,Can Make?,Planned Mfg Rev,Planned Profit $,,6011,,86455.2,11188.32,39920.42476,5166.172616,,MEDLINE CURAD MEDISTRIP 1/4 X 4 IN STERILE NON250414,,Delta 13,F-22004                 ,54527,Non-Sterile,1520,1520,
,2026-02-05 00:00:00,Plan Revenue,10719.06,44594.6,20665.84,,,,,,4582,54675,Non-Sterile,0,0,0,0,,,(blank),992863.5199999997,334165.122322,,5341,53247,0,0,0,0,,ISI EXTRA LARGE ALUMI-HAND 761,,,F-22008                 ,54536,Non-Sterile,0,0,
,,Act Revenue,9855.779999999999,24911.2,47333.259999999995,,,,,,F-22004                 ,54527,Non-Sterile,1520,1520,578.82,578.82,5 SITE SEMI-OCCLUSIVE STRIP,,No ,66150,12862.741500000004,,4152,54388,104483.99999999999,0,18490.645199999988,0,,"McKESSON 61-82044 DRESSING, HYDROGEL SHEET STR LF 4X4",,,F-22007                 ,54535,Non-Sterile,0,0,
,2026-02-06 00:00:00,Plan Revenue,0,17234.6,9792.48,,,,,,F-22007                 ,54535,Non-Sterile,0,0,0,0,"ADVANCED 2"" × 200' ROLL SEMI-OCCLUSIVE",,Grand Total,1059013.5199999996,347027.863822,,7235,,127727.99999999999,55348.80000000001,26913.839999999997,11662.663999999999,,HARMAC PRTD DRAPE ASSEMBLY P3113231 REV.A  (ROW),,,1674,54394,Non-Sterile,0,0,
