Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Monthly Total Mfg Rev & Profit TARGET,Unnamed: 19,Unnamed: 20,Unnamed: 21,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,Mfg Target,1014261.1599999999,-577651.7699999998,,,,,Date,(Multiple Items),,,,,,,,Date,(Multiple Items),,,,,,,,,
,,Mfg Actual,436609.3900000001,,,,,,Mfg or Quality Release,Non Sterile,Difference,-577651.7699999999,,,,,,Mfg or Quality Release,Non Sterile,,,,,,,,,
,,Mfg or Quality Release,(Multiple Items),,,,,,,,Grand Totals,1014261.1599999999,436609.39,464515.557548,199605.162712,,,,,,,Date,(Multiple Items),,,,,
,,Finished Goods,(All),,,,,,Line/Machine,Part #,Lot #,Plan Revenue,Act Revenue,Planned Profit $,Actual Profit $,Description,,Can Make,Mfg Planned Rev,Planned Profit $,,Mfg or Quality Release,Quality Release,,,,,
,,Week,(All),,,,,,Bottle Line ,6370,54789,53367,0,5010.539999999997,0,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908,,(blank),1014261.1600000001,464515.5575479999,,,,1121215.12,0,457798.5777399999,0,
,,,,,,,,,Tuber Machine,5666,54058,44279.99999999999,0,17580.283199999998,0,MPM RadiaPlex Rx Gel 6oz. MP00106,,No ,0,0,,Part #,Lot Numbers,Planned Ship Revenue,Actual Ship Revenue,Planned Profit $,Actual Profit $,Description
,,Date,Values,,,,,,,,54792,8200,0,3255.6079999999997,0,,,Grand Total,1014261.1600000001,464515.5575479999,,7159,54416,9757.8,0,3943.6323839999995,0,URGO - VASHE 250 ml OTC Flip Top 00405
,,2026-02-01 00:00:00,Plan Revenue,0.0,,,,,,5662,54238,5880,0,1085.754,0,"MPM Regenecare Wound Gel 0.5 oz, MP00101",,,,,,7153,54415,272615.04,0,107475.57935999999,0,URGO - VASHE 250 ml Flip Top 00313
,,,Act Revenue,0.0,,,,,,5440,54384,1540,0,837.877,0,MPM Regenecare HA Gel 0.5oz. MP00112,,Quality Releases Rev & Profit TARGET,,,,7155,54417,26040,0,17377.086,0,URGO - VASHE 250 ml Instill 00316
,,2026-02-02 00:00:00,Plan Revenue,78150.16,,,,,,,54385,7700,0,4189.385,0,,,Date,(Multiple Items),,,,54668,17342.64,0,11573.139276,0,
,,,Act Revenue,19184.67,,,,,,7738,53581,43344,0,42834.1032,0,PERIO AO ProVantage GEL 15ml,,Mfg or Quality Release,Quality Release,,,7156,54419,154960.32,0,97947.85593599999,0,URGO - VASHE 475 ml Instill 00317
,,2026-02-03 00:00:00,Plan Revenue,78134.2,,,,,,7832,53897,21000,0,6539.999999999999,0,SkinCentry Premium Silicone Cream 2oz,,,,,,7154,54418,77700,0,36058.829999999994,0,URGO - VASHE 475 ml Flip Top 00314
,,,Act Revenue,28876.44,,,,,1 -up Filler,5660,54793,8800,4523.200000000001,2646.808000000001,1360.4593120000004,MPM Antiseptic Wound & Skin Cleanser 8 fl.oz. MP00032,,Can Make,Ship planned Rev,Planned Profit $,,7152,54414,213736.32,0,88357.09478399999,0,URGO - VASHE 118 ml Flip Top 00312
,,2026-02-04 00:00:00,Plan Revenue,79605.0,,,,,,7769,53589,5157.36,2805.75,4230.007392,2301.2439,PERIO AO ProRinse SENSITIVE 10 oz,,(blank),1121215.12,457798.57774,,5666,54058,44279.99999999999,0,17580.283199999998,0,MPM RadiaPlex Rx Gel 6oz. MP00106
,,,Act Revenue,54324.479999999996,,,,,,7794,53590,2025,0,1574.6508,0,PERIO AO ProRinse SENSITIVE 32 oz,,Grand Total,1121215.12,457798.57774,,6370,54364,160101,0,15031.61999999999,0,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908
,,2026-02-05 00:00:00,Plan Revenue,64460.0,,,,,Vashe Machine,,,0,0,0,0,,,,,,,,54789,53367,0,5010.539999999996,0,
,,,Act Revenue,35588.32,,,,,"K1 Kettle - 1,892,000 grams (big)",7755,53350,0,0,0,0,,,,,,,7558,53908,25500,0,18876.72,0,ioTech ioRinse AC 1 liter
,,2026-02-06 00:00:00,Plan Revenue,51960.0,,,,,,7796,54827,0,0,0,0,,,,,,,7559,53907,23550,0,19241.97,0,ioTech ioRinse AC 16oz
,,,Act Revenue,33479.04,,,,,,7956,54831,0,0,0,0,,,,,,,5660,54793,8800,0,2646.808000000001,0,MPM Antiseptic Wound & Skin Cleanser 8 fl.oz. MP00032
,,2026-02-07 00:00:00,Plan Revenue,0.0,,,,,K2 Kettle - 45 gallon (small),5821,54056,0,0,0,0,,,,,,,7769,53589,10440,0,8562.768,0,PERIO AO ProRinse SENSITIVE 10 oz
,,,Act Revenue,0.0,,,,,,,54057,0,0,0,0,,,,,,,7794,53590,2025,0,1574.6508,0,PERIO AO ProRinse SENSITIVE 32 oz
,,2026-02-08 00:00:00,Plan Revenue,0.0,,,,,,5810,54823,0,0,0,0,,,,,,,7832,53897,21000,0,6539.999999999999,0,SkinCentry Premium Silicone Cream 2oz
,,,Act Revenue,0.0,,,,,,5809,54383,0,0,0,0,,,,,,,Grand Total,,1121215.12,0,457798.5777399999,0,
,,2026-02-09 00:00:00,Plan Revenue,41052.84,,,,,"T2 Tank - 2,000 gallon (7,568,000 grams)",5767,54848,0,0,0,0,,,,,,,,,,,,,
,,,Act Revenue,15377.759999999998,,,,,,,54849,0,0,0,0,,,,,,,,,,,,,
,,2026-02-10 00:00:00,Plan Revenue,37227.0,,,,,Bottle Line-URGO - VASHE,7159,54416,9757.8,9828,3943.6323839999995,3972.0038399999994,URGO - VASHE 250 ml OTC Flip Top 00405,,,,,,,,,,,,
,,,Act Revenue,34467.72,,,,,,7153,54415,272615.04,169673.76,107475.57935999999,66892.07483999999,URGO - VASHE 250 ml Flip Top 00313,,,,,,,,,,,,
,,2026-02-11 00:00:00,Plan Revenue,41440.0,,,,,,,54669,254552,95519.04,100354.41799999999,37657.365359999996,,,,,,,,,,,,,
,,,Act Revenue,25547.76,,,,,,7155,54417,26040,0,17377.086,0,URGO - VASHE 250 ml Instill 00316,,,,,,,,,,,,
,,2026-02-12 00:00:00,Plan Revenue,38213.0,,,,,,,54668,17342.64,0,11573.139276,0,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,7156,54419,154960.32,94244.16,97947.85593599999,59570.175168,URGO - VASHE 475 ml Instill 00317,,,,,,,,,,,,
,,2026-02-13 00:00:00,Plan Revenue,10500.0,,,,,,7154,54418,77700,60015.479999999996,36058.829999999994,27851.840291999997,URGO - VASHE 475 ml Flip Top 00314,,,,,,,,,,,,
,,,Act Revenue,24384.0,,,,,K2 Kettle - 45 gallon (small) Ribbon blender,5419,,0,0,0,0,,,,,,,,,,,,,
,,2026-02-14 00:00:00,Plan Revenue,0.0,,,,,,5418,54798,0,0,0,0,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,Grand Total,,,1014261.1599999999,436609.39,464515.557548,199605.162712,,,,,,,,,,,,,
,,2026-02-15 00:00:00,Plan Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,Act Revenue,0.0,,,,,,,,,,,,,,,,,,,,,,,,
