Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,SHIPMENT Rev & Profit TARGET,Unnamed: 21,Unnamed: 22,Unnamed: 23,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,"QUALITY PRODUCT RELEASES (PRE-STERILE, NON Sterile, STERILE)",Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,Mfg Target,1035063.06,-298487.91000000003,,,,,,,,,,,,,,,,Date,(Multiple Items),,,,,,,,,,,,,,,,,,
,,Mfg Actual,736575.15,,,,,,,,,,,,,,,,,Sterile / Non-Sterile,(Multiple Items),,,Date,(Multiple Items),,,,,,,,,,,,,,
,Finished Goods,(Multiple Items),422849.44,581689.0800000001,453373.98,,,,,Date,(Multiple Items),,,,,,,,,,,,,jun,(All),,,,,,,,Date,(Multiple Items),,,,,
,Week,(All),192273.18000000002,321130.26,415444.89,,,,,Can Make?,(All),,Difference,-298487.91000000003,,,,,,Can Make?,Planned Ship Rev,Planned Profit $,,Sterile / Non-Sterile,(Multiple Items),,,,,,,,Can Make?,(All),,,,,
,,,,,,,,,,,,,Grand Totals,1035063.06,736575.15,397979.8190850001,305476.8649210001,,,(blank),876223.4200000004,342969.84579500015,,,,876223.42,607718.0700000001,342969.845795,241438.321121,0.0,,,,,,,,,
,,,Sterile / Non-Sterile,,,,,,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Planned Profit $,Actual Profit $,Description,,No ,0,0,,Part #,Lot Numbers,Planned Ship Revenue,Actual Ship Revenue,Planned Profit $,Actual Profit $,,Description,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Description
,Date,Values,Sterile,Pre-Sterile ,Non-Sterile,,,,,Circle 2,5005,54173,Pre-Sterile ,0,0,0,0,IMPLUS SKIN BLISTER PADS 4742300,,Grand Total,876223.4200000004,342969.84579500015,,3707,53927,0,0,0,0,,,,Circle 2,6011,54629,Sterile,0,1398.54,
,2026-01-05 00:00:00,Plan Revenue,,10653.12,9572.92,,,,,Cuderm,1920,53760,Non-Sterile,0,0,0,0,,,,,,,6011,,0,1398.54,0,645.771577,,MEDLINE CURAD MEDISTRIP 1/4 X 4 IN STERILE NON250414,,Cuderm,1920,53760,Non-Sterile,0,0,
,,Act Revenue,,18248.4,10256.699999999999,,,,,,6051,53541,Non-Sterile,0,0,0,0,,,MANUFACTURING Rev & Profit TARGET,,,,1920,53760,0,0,0,0,,,,,6006,54647,Non-Sterile,0,0,
,2026-01-06 00:00:00,Plan Revenue,,16571.52,9041.58,,,,,,6006,54647,Non-Sterile,0,0,0,0,,,Date,(Multiple Items),,,6051,,0,0,0,0,,,,,6051,53541,Non-Sterile,0,0,
,,Act Revenue,,2959.2000000000003,12917.8,,,,,Delta 1,3709,53930,Non-Sterile,0,0,0,0,,,Sterile / Non-Sterile,(Multiple Items),,,3726,54353,0,0,0,0,,,,Delta 1,3709,53930,Non-Sterile,0,0,
,2026-01-07 00:00:00,Plan Revenue,,16571.52,6028,,,,,,3707,53927,Non-Sterile,0,0,0,0,,,,,,,4907,,30643,30642.999999999996,10469.879999999997,10469.879999999997,,"KCI ASSY, 15 X 15 FOAM POUCH 416921.S Rev. A",,,3707,53927,Non-Sterile,0,0,
,,Act Revenue,,17604,5651.25,,,,,Delta 13,5005,54173,Non-Sterile,0,0,0,0,IMPLUS SKIN BLISTER PADS 4742300,,Can Make?,Planned Mfg Rev,Planned Profit $,,4830,,0,0,0,0,,,,Delta 13,4671,54632,Non-Sterile,7268.799999999999,3964.7999999999997,
,2026-01-08 00:00:00,Plan Revenue,,26840.52,10549,,,,,,4582,54498,Non-Sterile,0,0,0,0,,,(blank),955827.0600000005,371186.13406500017,,3709,,0,0,0,0,,,,,4821,54672,Non-Sterile,6446.400000000001,6661.28,
,,Act Revenue,,5134.5,13902.075,,,,,,4821,54672,Non-Sterile,6446.400000000001,6661.28,1638.0000000000002,1692.6000000000001,"HARMAC .75"" FILTER PUNCH P2998015   REV.C",,No ,79236,26793.68502,,2977,,18360,17680,4878.905292,4698.205096000001,,MEDLINE DRSG SURESITE 4.75 X 4 FRAME/LABL (MSC52281),,,F-22004                 ,54527,Non-Sterile,1520,6080,
,2026-01-09 00:00:00,Plan Revenue,,48890.520000000004,10549,,,,,,F-22004                 ,54527,Non-Sterile,1520,6080,578.82,2315.28,5 SITE SEMI-OCCLUSIVE STRIP,,Grand Total,1035063.0600000005,397979.81908500014,,5167,54389,0,0,0,0,,,,,4582,54498,Non-Sterile,0,0,
