Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Monthly Total Mfg Rev & Profit TARGET,Unnamed: 19,Unnamed: 20,Unnamed: 21,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,Mfg Target,1079528.8,-332355.89340000006,,,,,Date,(Multiple Items),,,,,,,,Date,(Multiple Items),,,,,,,,,
,,Mfg Actual,747172.9066,,,,,,Mfg or Quality Release,Non Sterile,Difference,-332355.89340000006,,,,,,Mfg or Quality Release,Non Sterile,,,,,,,,,
,,Mfg or Quality Release,(Multiple Items),,,,,,,,Grand Totals,1079528.8,747172.9066,434292.94950799993,309658.618409,,,,,,,Date,(Multiple Items),,,,,
,,Finished Goods,(All),,,,,,Line/Machine,Part #,Lot #,Plan Revenue,Act Revenue,Planned Profit $,Actual Profit $,Description,,Can Make,Mfg Planned Rev,Planned Profit $,,Mfg or Quality Release,Quality Release,,,,,
,,Week,(All),,,,,,Bottle Line ,6370,54364,160101,71323.2166,15031.619999999992,6696.419691999996,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908,,(blank),1056866.8,420266.99273199984,,,,670866.98,0,312672.3128239999,0,
,,,,,,,,,,7560,53913,15385,25316.399999999998,11407.9594,18772.080816,ioTech ioRinse Ultra 1 liter,,No ,22662,14025.956776,,Part #,Lot Numbers,Planned Ship Revenue,Actual Ship Revenue,Planned Profit $,Actual Profit $,Description
,,Date,Values,,,,,,,7561,53912,23550,23135.52,19265.595,18926.520528,ioTech ioRinse Ultra 16 oz,,Grand Total,1079528.8,434292.9495079998,,7310,54366,17982,0,12692.518776,0,NEXT SCIENCE BRANDED 1.0oz BLASTX
,,2026-01-01 00:00:00,Plan Revenue,0.0,,,,,Tuber Machine,7310,54366,0,0,0,0,NEXT SCIENCE BRANDED 1.0oz BLASTX,,,,,,7159,54380,9734.4,0,3934.1752319999996,0,URGO - VASHE 250 ml OTC Flip Top 00405
,,,Act Revenue,0.0,,,,,,5666,54058,44279.99999999999,10250,17580.283199999998,4069.5099999999993,MPM RadiaPlex Rx Gel 6oz. MP00106,,Quality Releases Rev & Profit TARGET,,,,7153,54378,225577.43999999997,0,88931.50595999998,0,URGO - VASHE 250 ml Flip Top 00313
,,2026-01-02 00:00:00,Plan Revenue,0.0,,,,,,5440,54384,1540,0,837.877,0,MPM Regenecare HA Gel 0.5oz. MP00112,,Date,(Multiple Items),,,5672,54044,2448,0,143.73720000000017,0,MPM OraMagic Rx 2oz MP00222
,,,Act Revenue,0.0,,,,,,,54385,7700,0,4189.385,0,,,Mfg or Quality Release,Quality Release,,,7154,54138,129510.35999999999,0,60102.85784399999,0,URGO - VASHE 475 ml Flip Top 00314
,,2026-01-04 00:00:00,Plan Revenue,0.0,,,,,,5668,54174,4680,2749.5,1333.4379999999996,783.3948249999999,MPM Regenecare HA Gel 3oz. MP00107,,,,,,,54381,129479.28,0,60088.43431199999,0,
,,,Act Revenue,0.0,,,,,,7738,53581,21672,0,21417.0516,0,PERIO AO ProVantage GEL 15ml,,Can Make,Ship planned Rev,Planned Profit $,,5674,54048,5880,0,1394.8152000000005,0,MPM OraMagic Plus 8oz MP00224
,,2026-01-05 00:00:00,Plan Revenue,55505.0,,,,,,7832,53897,21000,2413.6,6539.999999999999,751.6639999999999,SkinCentry Premium Silicone Cream 2oz,,(blank),670866.98,312672.31282399996,,5668,54174,4680,0,1333.4379999999996,0,MPM Regenecare HA Gel 3oz. MP00107
,,,Act Revenue,42687.299999999996,,,,,1 -up Filler,5672,54044,2448,0,143.73720000000017,0,MPM OraMagic Rx 2oz MP00222,,Grand Total,670866.98,312672.31282399996,,7560,53913,25500,0,18908.22,0,ioTech ioRinse Ultra 1 liter
,,2026-01-06 00:00:00,Plan Revenue,50825.0,,,,,,5674,54048,5880,0,1394.8152000000005,0,MPM OraMagic Plus 8oz MP00224,,,,,,7561,53912,23550,0,19265.595,0,ioTech ioRinse Ultra 16 oz
