Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,SHIPMENT Rev & Profit TARGET,Unnamed: 25,Unnamed: 26,Unnamed: 27,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,"QUALITY PRODUCT RELEASES (PRE-STERILE, NON Sterile, STERILE)",Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,,Mfg Target,658371.35,-611188.47,,,,,,,,,,,,,,,,,,,,Date,(Multiple Items),,,,,,,,,,,,,,,,,,
,,Mfg Actual,47182.880000000005,,,,,,,,,,,,,,,,,,,,,Sterile / Non-Sterile,(Multiple Items),,,Date,2023-01-03 00:00:00,,,,,,,,,,,,,,
,Finished Goods,(Multiple Items),228234,406456.62,251914.72999999998,,,,,,,,,Date,(Multiple Items),,,,,,,,,,,,,Can Make?,(All),,,,,,,,Date,2023-01-03 00:00:00,,,,,
,Week,(All),0,7156.8,40026.08,Targets,20.7,20.7,900,900,540,,,Can Make?,(All),,Difference,-366019.7969999999,,,,,,Can Make?,Planned Ship Rev,Planned Profit $,,Sterile / Non-Sterile,(Multiple Items),,,,,,,,Can Make?,(All),,,,,
,,,,,,Collagen Powder and Sheets Inventory,,,,,,,,,,,Grand Totals,1059013.52,692993.7230000001,347027.8638219999,254200.90120000002,,,Grand Total,,,,,,0,0,0,0,0.0,,,,,,,,,
,,,Sterile / Non-Sterile,,,,Powder,2.15 Powder,11x17 sheets,7x7sheets,8x12 sheet,,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Planned Profit $,Actual Profit $,Description,,,,,,Part #,Lot Numbers,Planned Ship Revenue,Actual Ship Revenue,Planned Profit $,Actual Profit $,,Description,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Description
,Date,Values,Sterile,Pre-Sterile ,Non-Sterile,,5136 (Kgs),7452 (kgs),4944 (ea),7408 (ea),5371 (ea),,,Circle 1,5045,53517,Pre-Sterile ,41076,0,14414.777999999998,0,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,,,,,,Grand Total,,,,,,,,,Grand Total,,,,,,
,2026-03-02 00:00:00,Plan Revenue,,48289.5,33690.86,,12.93,0,140,0,0,,,Circle 2,1673,54393,Non-Sterile,39744,29808,10839.599999999999,8129.699999999999,BI OVERLAY #1 - ITALY,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,7156.8,28483.2,,,,,,,,,,1674,54394,Non-Sterile,92565,0,15842.199999999999,0,BI OVERLAY #2 - ITALY,,MANUFACTURING Rev & Profit TARGET,,,,,,,,,,,,,,,,,,,
,2026-03-03 00:00:00,Plan Revenue,,44853.2,26870.260000000002,,14.27,0,140,0,0,,,,5005,54173,Pre-Sterile ,0,0,0,0,IMPLUS SKIN BLISTER PADS 4742300,,Date,2023-01-03 00:00:00,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,5762.88,,,,,,,,,Delta 1,3707,54643,Non-Sterile,0,0,0,0,,,Sterile / Non-Sterile,(Multiple Items),,,,,,,,,,,,,,,,,,
,2026-03-04 00:00:00,Plan Revenue,,25053.2,19331.86,,14.27,0,140,0,0,,,Delta 13,1673,54393,Non-Sterile,0,0,0,0,BI OVERLAY #1 - ITALY,,,,,,,,,,,,,,,,,,,,,
,,Act Revenue,,0,0,,,,,,,,,,1674,54394,Non-Sterile,0,0,0,0,BI OVERLAY #2 - ITALY,,Can Make?,Planned Mfg Rev,Planned Profit $,,,,,,,,,,,,,,,,,
,2026-03-05 00:00:00,Plan Revenue,,25053.2,13138.75,,3,0,140,0,0,,,,4582,54675,Non-Sterile,0,0,0,0,,,(blank),0,0,,,,,,,,,,,,,,,,,
