Unnamed: 0,Unnamed: 1,WHITEBOARD TARGETS vs ACTUALS,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,MFG REVENUE TARGETS vs ACTUALS by Equipment# and Part #,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,SHIPMENT Rev & Profit TARGET,Unnamed: 21,Unnamed: 22,Unnamed: 23,SHIPMENT REVENUE TARGETS vs ACTUALS by Part # and Lot #,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,"QUALITY PRODUCT RELEASES (PRE-STERILE, NON Sterile, STERILE)",Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,Mfg Target,,,,,,,,,,,,,,,,,,Date,(Multiple Items),,,,,,,,,,,,,,,,,,
,,Mfg Actual,,,,,,,,,,,,,,,,,,Sterile / Non-Sterile,(Multiple Items),,,Date,(Multiple Items),,,,,,,,,,,,,,
,Finished Goods,(Multiple Items),93142.7,60561.12,,,,,,Date,(Multiple Items),,,,,,,,,,,,,jun,(All),,,,,,,,Date,(Multiple Items),,,,,
,Week,(All),7156.8,34246.08,,,,,,Can Make?,(All),,Difference,-53497.16,,,,,,Can Make?,Planned Ship Rev,Planned Profit $,,Sterile / Non-Sterile,(Multiple Items),,,,,,,,Can Make?,(All),,,,,
,,,,,,,,,,,,,Grand Totals,81980.36,28483.2,28605.573210000002,7768.379999999999,,,(blank),479068.73000000004,151233.15131,,,,480148.73,34263.2,151784.00330999997,9304.331665999998,0.0,,,,,,,,,
,,,Sterile / Non-Sterile,,,,,,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Planned Profit $,Actual Profit $,Description,,No ,1080,550.8520000000001,,Part #,Lot Numbers,Planned Ship Revenue,Actual Ship Revenue,Planned Profit $,Actual Profit $,,Description,,Line/Machine,Part #,Lot #,Sterile / Non-Sterile,Plan Revenue,Act Revenue,Description
,Date,Values,Pre-Sterile ,Non-Sterile,,,,,,Circle 2,1673,54393,Non-Sterile,23184,28483.2,6323.099999999999,7768.379999999999,BI OVERLAY #1 - ITALY,,Grand Total,480148.73000000004,151784.00331,,1673,54393,33120,28483.2,9033,7768.379999999999,,BI OVERLAY #1 - ITALY,,Circle 2,1673,54393,Non-Sterile,33120,28483.2,
,2026-03-02 00:00:00,Plan Revenue,48289.5,33690.86,,,,,,Cuderm,6051,54779,Non-Sterile,0,0,0,0,,,,,,,3958,54644,1080,0,550.8520000000001,0,,Harmac Filter Disc P3113306 Rev A,,Cuderm,104,54641,Non-Sterile,0,0,
,,Act Revenue,7156.8,28483.2,,,,,,Delta 1,3707,54643,Non-Sterile,0,0,0,0,,,MANUFACTURING Rev & Profit TARGET,,,,3707,54643,0,0,0,0,,,,,6051,54779,Non-Sterile,0,0,
,2026-03-03 00:00:00,Plan Revenue,44853.2,26870.260000000002,,,,,,Delta 13,TEST 7217,54842,Non-Sterile,2039.73,0,1956.0312,0,DermaClip Vet Large 3 Clip Adhesive Pad,,Date,(Multiple Items),,,6319,,28305.000000000004,0,11003.505000000001,0,,EUROFINS SEMI-OCCLUSIVE STRIP,,Delta 1,3707,54643,Non-Sterile,0,0,
,,Act Revenue,0,5762.88,,,,,,Delta 2,7488,54636,Pre-Sterile ,11928,0,4033.45796,0,"CARDINAL HEALTH TELFA NON-ADHERENT DRESSING 3""x4"" 2132",,Sterile / Non-Sterile,(Multiple Items),,,6320,,42000,0,17736.949999999997,0,,EUROFINS  OCCLUSIVE TEST STRIP,,Delta 13,6320,54392,Non-Sterile,42000,0,
,Total Plan Revenue,,93142.7,60561.12,,,,,,Delta 4,4557,54437,Non-Sterile,8467.130000000001,0,2872.3058000000005,0,PREVENA PEEL AND PLACE TEGADERM SHORT  # 416129,,,,,,1920,53761,0,0,0,0,,,,,6319,54391,Non-Sterile,28305.000000000004,0,
,Total Act Revenue,,7156.8,34246.08,,,,,,Delta Pkg,5045,53517,Pre-Sterile ,1711.5,0,600.6157499999999,0,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,,Can Make?,Planned Mfg Rev,Planned Profit $,,6051,,0,0,0,0,,,,,TEST 7217,54842,Non-Sterile,2039.73,0,
,,,,,,,,,,,3752,54497,Pre-Sterile ,0,0,0,0,MPM 4 x 5 THIN FILM DRESSING STERILE MP00470,,(blank),622330.2300000001,217110.88033999986,,5341,53247,54450,0,20145.812500000004,0,,ISI EXTRA LARGE ALUMI-HAND 761,,Delta 3,2977,54529,Non-Sterile,15300,5780,
,,,,,,,,,,Impulse Sealer 2,5341,53247,Pre-Sterile ,34650,0,12820.062500000002,0,ISI EXTRA LARGE ALUMI-HAND 761,,No ,36041.12,17142.669632,,2977,,15300,5780,4065.75441,1535.951666,,MEDLINE DRSG SURESITE 4.75 X 4 FRAME/LABL (MSC52281),,,3958,54644,Non-Sterile,1080,0,
,,,,,,,,,,Scout,7544,54782,Non-Sterile,0,0,0,0,,,Grand Total,658371.3500000001,234253.54997199986,,6253,,0,0,0,0,,,,,6039,54528,Non-Sterile,0,0,
,,,,,,,,,,Grand Total,,,,81980.36,28483.2,28605.573210000002,7768.379999999999,,,,,,,4152,54388,104483.99999999999,0,18490.645199999988,0,,"McKESSON 61-82044 DRESSING, HYDROGEL SHEET STR LF 4X4",,Delta 4,4557,54437,Non-Sterile,49880,0,
