SONumber,LineNumber,ItemCode,ItemDescription,CustomerCode,CustomerName,OrderQuantity,UnitPrice,ExtendedLineAmount,Order date,Requested Ship date,lead_time_days,mfg_start_date,earliest_ship_date,feasibility,days_margin,Profit,late_penalty,holding_cost,adjusted_profit,ship_month
64885,1,104,"K-C AVENT TAPE  0.5"" ON MASK #ROSU00588 Rev 3",KC        ,"O&M Halyard, Inc",150000.0,0.291,43650.0,2026-01-09,2026-02-23,14,2026-02-25,2026-03-11,LATE,-16.0,16747.35,5359.152,0.0,11388.197999999999,2026-03
64884,1,104,"K-C AVENT TAPE  0.5"" ON MASK #ROSU00588 Rev 3",KC        ,"O&M Halyard, Inc",150000.0,0.291,43650.0,2026-01-09,2026-03-09,14,2026-02-25,2026-03-11,LATE,-2.0,16747.35,669.894,0.0,16077.455999999998,2026-03
64771,1,1673,BI OVERLAY #1 - ITALY,LAVIPHARM ,Lavipharm SA,400000.0,0.235,94000.0,2025-11-21,2026-02-02,14,2026-02-25,2026-03-11,LATE,-37.0,22146.0,16388.04,0.0,5757.959999999999,2026-03
64771,2,1674,BI OVERLAY #2 - ITALY,LAVIPHARM ,Lavipharm SA,500000.0,0.237,118500.0,2025-11-21,2026-02-02,14,2026-02-25,2026-03-11,LATE,-37.0,11165.00000000001,8262.100000000006,0.0,2902.9000000000033,2026-03
64501,1,1917,EMED  2.375 X 2.75 PRTD DRESS,EMED      ,EMED Technologies Corp,360000.0,0.12,43200.0,2025-08-25,2026-03-31,14,2026-03-17,2026-03-31,ON_TIME,0.0,18559.439999999995,-0.0,0.0,18559.439999999995,2026-03
64502,1,1917,EMED  2.375 X 2.75 PRTD DRESS,EMED      ,EMED Technologies Corp,360000.0,0.12,43200.0,2025-08-25,2026-05-15,14,2026-03-17,2026-03-31,ON_TIME,45.0,18559.439999999995,0.0,81000.0,-62440.560000000005,2026-03
64503,1,1917,EMED  2.375 X 2.75 PRTD DRESS,EMED      ,EMED Technologies Corp,360000.0,0.12,43200.0,2025-08-25,2026-06-30,14,2026-03-17,2026-03-31,ON_TIME,91.0,18559.439999999995,0.0,163800.0,-145240.56,2026-03
65012,1,2977,MEDLINE DRSG SURESITE 4.75 X 4 FRAME/LABL (MSC52281),CENTURION ,Centurion Medical Products Corp,63.0,340.0,21420.0,2026-02-24,2026-06-03,14,2026-03-18,2026-04-01,ON_TIME,63.0,5391.365049,0.0,19.845,5371.520049,2026-04
64833,1,2977,MEDLINE DRSG SURESITE 4.75 X 4 FRAME/LABL (MSC52281),CENTURION ,Centurion Medical Products Corp,45.0,340.0,15300.0,2025-12-18,2026-04-01,14,2026-03-18,2026-04-01,ON_TIME,0.0,3850.975035,-0.0,0.0,3850.975035,2026-04
64925,2,3069,ARGENTUM 4 X 4 PRTD ISLAND DRSG NS; BULK,ARGENTUM  ,"Argentum Medical, LLC",35000.0,0.81,28350.0,2026-01-21,2026-03-27,14,2026-03-13,2026-03-27,ON_TIME,0.0,23017.505000000005,-0.0,0.0,23017.505000000005,2026-03
64802,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",140.0,5.5,770.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,186.76392,18.676392000000003,0.0,168.08752800000002,2026-03
64803,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",350.0,5.5,1925.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,466.9098,46.69098,0.0,420.21882,2026-03
64804,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",10.0,5.5,55.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,13.34028,1.334028,0.0,12.006252,2026-03
64806,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,26.68056,2.668056,0.0,24.012504,2026-03
64807,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,26.68056,2.668056,0.0,24.012504,2026-03
64808,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",40.0,5.5,220.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,53.36112,5.336112,0.0,48.025008,2026-03
64810,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",60.0,5.5,330.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,80.04168,8.004168,0.0,72.03751199999999,2026-03
64811,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",60.0,5.5,330.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,80.04168,8.004168,0.0,72.03751199999999,2026-03
64812,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",100.0,5.5,550.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,133.4028,13.340280000000002,0.0,120.06252,2026-03
64813,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",40.0,5.5,220.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,53.36112,5.336112,0.0,48.025008,2026-03
64814,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",30.0,5.5,165.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,40.02084,4.002084,0.0,36.018755999999996,2026-03
64815,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",20.0,5.5,110.0,2025-12-08,2026-03-06,14,2026-02-25,2026-03-11,LATE,-5.0,26.68056,2.668056,0.0,24.012504,2026-03
64853,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",30.0,5.5,165.0,2026-01-02,2026-03-31,14,2026-02-25,2026-03-11,ON_TIME,20.0,40.02084,0.0,3.0,37.02084,2026-03
64854,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",90.0,5.5,495.0,2026-01-02,2026-03-31,14,2026-02-25,2026-03-11,ON_TIME,20.0,120.06252,0.0,9.0,111.06252,2026-03
64858,10,3132,MEDLINE CURAD NASAL TUBE HOLDER CURNASTUB50,MEDL      ,"Medline Industries, Inc.",30.0,5.5,165.0,2026-01-05,2026-04-01,14,2026-02-25,2026-03-11,ON_TIME,21.0,40.02084,0.0,3.15,36.87084,2026-03
