Item code,Description,Lead time (Days)
100,ADROIT FACE SHIELD TAPE 1/2 X 300 LY,28
101,SAF TUBE TAMER,35
102,Carrot-Top Industries  Electrode Tape-T8001 30 LY RL,14
103,HYDROMED 4 x 1 TYVEK STRIP W/ADH TAB,14
104,"K-C AVENT TAPE  0.5"" ON MASK #ROSU00588 Rev 3",14
105,**INACTIVE**MUELLER BULK NO GLARE STRIPS 4/SHT,14
106,**INACTIVE**MIDWEST GARMENT CLOSURE,14
107,HYDROMED 6 X 7/8 TAPE STRIPS PRTD,14
108,**INACTIVE**HYDROMED POLY TAPE STRIP 6X.75,14
109,**INACTIVE**HYDROMED POLY TAPE STRIP 10X1,14
110,HYDROMED 1 X 9 POLY TAPE TEAR HERE,14
111,**INACTIVE**MUELLER BULK NO GLARE STRIP 12/SHT,14
112,**INACTIVE**ADVENTURE 2 X 5LY  DUCT TAPE,14
113,**INACTIVE**SPINAL SPEC 1731D 1.5 X 250 LY,0
114,STERIMED 3M 9889EL 1 X 72 LY,35
115,**INACTIVE**MUELLER NO GLARE STRIPS PRE 4/SHT,14
116,**INACTIVE**OXBORO DUOPLAS STERILE HP TARGET TAPE,0
117,**INACTIVE**MUELLER NO GLARE FULL FACE STRIPS UP,14
118,MUELLER 1/4 X 6 X 72 FOAM RL B060252,14
119,**INACTIVE**STERION PKT TAPE LUCELLE 1527  CSEAL POUCH,14
120,**INACTIVE**STERION PKT TAPE GENTTELLE 1530 CSEAL POUCH,14
121,**INACTIVE**STERION PKT TAPE SILKELLE 1538 CSEAL POUCH,14
122,**INACTIVE**STERION PKT TAPE ELASTELLE 9907 CSEAL POUCH,14
123,**INACTIVE**MUELLER 1/8 X 6 X 72 FOAM RL B060251,14
124,**INACTIVE**MUELLER BULK FOAM VARIETY PACK B060271,14
125,**INACTIVE**ADROIT 2 X 750 LY SCORED LNR UP BODY,0
126,**INACTIVE**SEL MED SILVER SONTARA,0
127,**INACTIVE**VANGUARD POX N25 1522 50K-6 HOLES REVISI,0
128,**INACTIVE**VANGUARD TRANSPORE HOUR GLASS T0001,0
129,**INACTIVE**ELECTRO MED 3M 1509 2 X 400 LY,35
130,**INACTIVE**TRU 3M 1522 MED ACRYLIC 3.85 IN X 72 YDS,35
131,**INACTIVE**TRU 3M 1509 (SLIT LOG),35
132,**INACTIVE**ATI CURVED SHIELD,0
133,"**INACTIVE**UNITED MED 3M 9962 12.25"" X 500 LY",14
134,**INACTIVE**MITSUBISHI FILM 12.25 X 2000 YDS,14
135,**INACTIVE**UNION MED 3M 9962 FILM,14
136,B BRAUN PAD STAR 140962,14
137,STERIMED STRAPS PE 1 X 30,14
138,**INACTIVE**STERIMED HOOKS WITH ADH,14
139,**INACTIVE**STERIMED LOOPS WITH ADH,14
140,**INACTIVE**BANTA LOOP W/ADH 3 X.375 LY,0
141,**INACTIVE**ADVANCE 1 X 17 GATHERING STRIP,0
142,**INACTIVE**ADVANCE 40 GATHERING STRIP,0
143,**INACTIVE**ADVANCE 1.25 GASKET,0
144,STERIMED 3M 9889EL 2.0  X 72 LY,35
145,**INACTIVE**ADVANCE 7/8 IN CIRCLE WHITE HOOK W/PSA,42
146,**INACTIVE**SPINAL CTD TYVEK LID 13.12 X 9.437,0
148,**INACTIVE**SEL MED 3M 9777L SERIS PVC FOAM,0
149,**INACTIVE**MICROTECK VELCRO LOOP 3 X 3/8,0
150,**INACTIVE**SPINAL CTD LID 7.31 X 9.25 PA,0
151,**INACTIVE**MARIAN/SEL MED 6X500 FT POLY FILM RL,14
152,**INACTIVE**SC INTL 1 X 1 EZEE PATCH,14
153,DSCOPE PED BAN 0683-00-0409-03 BX,14
154,DSCOPE ADLT FLEXI 0683-00-0409-02,14
155,MPM Repel Wound Drsg Sterile 2x2 Pad MP00082,14
156,MPM Repel Wound Dressing Sterile 4 x 4 Pad MP00084,14
157,DSCOPE NEONATE FOOT BANDAGE 0683-00-0440-03,14
158,**INACTIVE**MEDIKMARK 2 X 2 NAP,0
159,**INACTIVE**MEDLINE 4X4(2.5 X 2.5) SSL UP,14
160,**INACTIVE**MEDLINE 6X6(4.25 X 4) SSL UP 1/BG,14
161,MUELLER ABR RL 2 X 10 YD MAN126,14
162,MUELLER ABR STRIPS 4 IN X 8 IN BULK MAN125A,14
163,**INACTIVE**GENTELL 4.5 X 4.5 HYDCOLLD W/FOAM,0
164,**INACTIVE**GENTELL 4 X 4 (2.5 X 2.5) SSL P,14
165,**INACTIVE**GENTELL 6X6 (4.25 X 4) SSL P,14
166,"**INACTIVE**JERNIGAN 4 X 4"" (2.5 X 2.5 PAD) SSL P",0
167,"**INACTIVE**JERNIGAN 6 X 6"" (4.25 X 4 PAD) SSL P",0
168,**INACTIVE**SELECTIVE 4.25 PAD W/BCKG,14
169,**INACTIVE**MPM 6 X 8 (4.25 X 6 PAD) SSL P MP00099,14
170,**INACTIVE**AFA 2 X 3 NAP,0
171,**INACTIVE**HYPERION 4 X 4,0
172,**INACTIVE**HYPERION 6 X 6,0
173,DOLPHIN NEONATE BANDAGE 55-00656-02,14
174,**INACTIVE**DERMA/CARR 6X6 (4.25 X 4) SSL P,14
175,**INACTIVE**DOLPHIN LGE ADLT FLEXISENSOR 55-00365,14
176,DOLPHIN ADLT BANDAGE 55-00364,14
177,**INACTIVE**MPM 4X4(2.5 X 2.5) SSLP 1/AB 30/BG 120/C,0
178,**INACTIVE**MPM 6X6 (4.25 X 4) SSL P,0
179,**INACTIVE**EPIC ADH FOAM TAPE E2000,14
180,**INACTIVE**EPIC ADH FOAM TAPE E800 X4F00005,0
181,**INACTIVE**MPM 4 X 4 (2.5 X 2.5) SSL UP BULK,14
182,**INACTIVE**MPM WNDGRD 4 X 4 (2.5 X 2.5) SSL UP,0
183,**INACTIVE**MUELLER ABR RL UP 4 IN X 10 LY U,14
184,**INACTIVE**MPM 6X6 SSL UP BULK,14
185,**INACTIVE**MUELLER 4 X 8 ABR STRIPS UP,14
186,**INACTIVE**CARE PROD 1/2  X 1 1/2 FOAM BARS,0
187,**INACTIVE**MAGNUS 4 X 4 (2.5 X 2.5),0
188,**INACTIVE**MAGNUS 6X6 (4.25 X 4),0
189,MUELLER MORE SKIN SQ 1 X 1 (JAR) B131401,14
190,MUELLER MORE SKIN CIR 3 IN (25/JR),14
191,ALERT AQUA PATCH 1 IN SQ P/N 420100,14
192,ALERT AQUA PATCH 3 IN CIR JR,14
193,**INACTIVE**EYE SHIELD FF A-CUP,14
194,**INACTIVE**EYE SHIELD FF C-CUP,14
195,**INACTIVE**EYE SHIELD FF D-CUP,14
196,BRAZA PETAL TOPS - BEIGE,14
197,**INACTIVE**3M 950 .75 IN TRANSFER ADH,35
198,DLS PLAS 3 MIL CLEAR PE 9 IN,42
199,PFCT SEAL 5/8 IN. PE TUBING,35
200,DLS PLAS WHT PE 30 IN MFOLD (8/7/7/8),42
201,**INACTIVE**DLS PLAS WHT 4 MIL PE 40 IN MFOLD (12/8/8/12),42
202,DWF .00125 LD MATTE 12.75 IN.,35
203,**INACTIVE**DLS PLAS WHT 4 MIL PE 12.5 CFOLD 25 IN,42
204,DLS PLAS WHT 4 MIL PE 8.5/8.5 IN CFOLD,42
205,GOLD LNR W/PSA 2.4375 IN,35
206,3M 9962 3.88 MIL AF FILM 12.25 IN,35
207,**INACTIVE**CLEAR VINYL 20 MIL 6 IN,0
208,**INACTIVE**PLAS SUPP LDPE 30 MIL 7 IN X 8 IN,0
209,SELIG FOIL 2 IN UNSUPPORTED FSM-1,35
210,SELIG FOIL 1/4 IN,0
211,DLS PLAS WHT 4 MIL PE 10 IN SGL WND,42
