SONumber,LineNumber,ItemCode,ItemDescription,CustomerCode,CustomerName,ItemSalesClassCode,OrderQuantity,UnitPrice,ExtendedLineAmount,Order date,Requested Ship date,lead_time_days,mfg_start_date,earliest_ship_date,feasibility,days_margin,Profit,gp_pct_cost_sheet,profit_estimated,ship_month
64684,1,3843,DeRoyal Episeal Tan 3 Inch Non-Reinforced Material,DEROYAL   ,DeRoyal Accounts Payable Dept,MEDICAL   ,28000.0,0.396,11088.0,2025-10-14,2026-01-12,0,2026-02-25,2026-02-25,LATE,-44.0,7710.752,0.6954141414141414,7710.7519999999995,2026-02
64757,2,6370,TB DRY MOUTH TINGLING RINSE 16 OZ BULK 40101908,ORORA     ,Orora Business Service Center,Filling OP,20000.0,1.7789,35578.0,2025-11-13,2025-12-05,0,2026-02-25,2026-02-25,LATE,-82.0,13112.86,0.3685665298780145,13112.86,2026-02
64846,1,5121,IMPLUS CANADA BLISTER PADS 4740700,IMPLUS CAN,Implus Canada,MEDICAL   ,15600.0,2.9,45240.0,2025-12-29,2026-03-08,14,2026-02-25,2026-03-11,LATE,-3.0,19753.2504,0.4366324137931034,19753.250399999997,2026-03
64923,1,N-4001,"1,000 L Obelix Bulk Wound Wash Solution",URGO      ,URGO Medical,MEDICAL   ,1.0,2912.0,2912.0,2026-01-20,,0,2026-02-25,2026-02-25,NO_DEADLINE,,,,,2026-02
64956,1,7217,DERMACLIP EXT 3 CLIP PAD NS -31005,Dermaclip ,"DermaClip US, LLC",MEDICAL   ,300.0,6.7991,2039.73,2026-02-04,,0,2026-02-25,2026-02-25,NO_DEADLINE,,125.9112,0.6006927150422212,1225.25095165307,2026-02
64985,1,N-4001,Cleaning validation for Delight production,Bloomi    ,The Bloomi Inc,MEDICAL   ,1.0,3000.0,3000.0,2026-02-11,,0,2026-02-25,2026-02-25,NO_DEADLINE,,,,,2026-02
64986,1,7991,Bloomi Delight 3oz,Bloomi    ,The Bloomi Inc,Default   ,5000.0,3.45,17250.0,2026-02-11,,0,2026-02-25,2026-02-25,NO_DEADLINE,,17250.0,1.0,17250.0,2026-02
64990,1,7993,200 RC Filter,HARM IRE  ,Harmac Medical Products,MEDICAL   ,10000.0,1.675,16750.0,2026-02-11,2026-03-27,0,2026-02-25,2026-02-25,ON_TIME,30.0,16750.0,1.0,16750.0,2026-02
64990,2,7992,Port Drape,HARM IRE  ,Harmac Medical Products,MEDICAL   ,10000.0,0.625,6250.0,2026-02-11,2026-03-27,0,2026-02-25,2026-02-25,ON_TIME,30.0,5600.000000000001,1.0,6250.0,2026-02
64992,1,8012,Bloomi Delight 3oz (1K Use Only),Bloomi    ,The Bloomi Inc,Filling OP,1.0,1000.0,1000.0,2026-02-13,,0,2026-02-25,2026-02-25,NO_DEADLINE,,999.26485,0.99926485,999.26485,2026-02
65007,1,N-4001,1 of 3 Bulk Validations,TURN      ,Turn Therapeutics,MEDICAL   ,1.0,1910.0,1910.0,2026-02-18,,0,2026-02-25,2026-02-25,NO_DEADLINE,,,,,2026-02
65007,2,7997,Turn Therapeutics Hexagen Bulk - 55 Gallon Drum,TURN      ,Turn Therapeutics,Filling OP,8.0,1910.0,15280.0,2026-02-18,,0,2026-02-25,2026-02-25,NO_DEADLINE,,15280.0,1.0,15280.0,2026-02
65007,3,N-4001,Cleaning Validation,TURN      ,Turn Therapeutics,MEDICAL   ,1.0,10000.0,10000.0,2026-02-18,,0,2026-02-25,2026-02-25,NO_DEADLINE,,,,,2026-02
65010,1,7488,"CARDINAL HEALTH TELFA NON-ADHERENT DRESSING 3""x4"" 2132",COVIDMA   ,Patient Recovery,MEDICAL   ,1080.0,170.4,184032.0,2026-02-23,2026-06-18,0,2026-02-25,2026-02-25,ON_TIME,113.0,21385.04004,0.1162028345070422,21385.040039999993,2026-02
65011,1,609,MEDISTRIP 1/4 IN X 3 IN BULK,CENTURION ,Centurion Medical Products Corp,MEDICAL   ,17.0,119.0,2023.0,2026-02-24,2026-07-22,14,2026-02-25,2026-03-11,ON_TIME,133.0,844.0477900000001,0.4172257983193277,844.04779,2026-03
65011,2,610,MEDISTRIP 1 IN X 4 IN BULK,CENTURION ,Centurion Medical Products Corp,MEDICAL   ,55.0,196.5,10807.5,2026-02-24,2026-07-22,14,2026-02-25,2026-03-11,ON_TIME,133.0,4062.22905,0.3758712977099236,4062.2290499999995,2026-03
65012,1,2977,MEDLINE DRSG SURESITE 4.75 X 4 FRAME/LABL (MSC52281),CENTURION ,Centurion Medical Products Corp,MEDICAL   ,63.0,340.0,21420.0,2026-02-24,2026-06-03,14,2026-02-25,2026-03-11,ON_TIME,84.0,5391.365049,0.2556069982078853,5475.101901612903,2026-03
65013,1,7861,ViaCLYR Flip Top 8oz,CLYRA     ,"Clyra Medical Technologies, Inc.",Filling OP,5000.0,2.7,13500.0,2026-02-24,2026-03-24,0,2026-02-25,2026-02-25,ON_TIME,27.0,9291.675,0.6882722222222223,9291.675000000001,2026-02
65013,2,7862,ViaCLYR Flip Top 16oz,CLYRA     ,"Clyra Medical Technologies, Inc.",Filling OP,5000.0,3.5,17500.0,2026-02-24,2026-03-24,0,2026-02-25,2026-02-25,ON_TIME,27.0,11076.47,0.6329411428571429,11076.47,2026-02
65013,3,7863,ViaCLYR Flip Top 32oz,CLYRA     ,"Clyra Medical Technologies, Inc.",Filling OP,1000.0,7.52,7520.0,2026-02-24,2026-03-24,0,2026-02-25,2026-02-25,ON_TIME,27.0,5463.174,0.7264859042553191,5463.174,2026-02
65014,1,5045,FREUDENBERG 30cm X 47cm Nonwoven Sheets 122P0463,FREUD     ,Freudenberg Performance Materials LP,MEDICAL   ,25000.0,1.63,40750.0,2026-02-24,2026-08-03,0,2026-02-25,2026-02-25,ON_TIME,159.0,14909.999999999996,0.3658895705521471,14909.999999999995,2026-02
